Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	4301	2.75e-42	41.6	5.77	10	-14	6	3.05	0.764	1.59	516	2	-12	12	202
13	3807	6.48e-39	38.2	7.04	44	-80	-2	36.4	-64.8	8.71	445	52	-72	6	211
12	1773	4.97e-23	22.3	6.61	-44	-70	2	-36.4	-72.6	-3.67	382	-44	-70	2	212
11	1118	1.06e-16	16	6.04	-26	-6	48	-35.5	-13.1	54.3	474	-22	-28	78	213
10	943	8.14e-15	14.1	6.24	-28	-54	48	-29.8	-54.2	44	448	-42	-56	56	206
9	831	1.51e-13	12.8	5.7	8	30	32	2.55	21.9	44.5	355	0	26	36	209
8	688	7.69e-12	11.1	6.1	46	16	38	43.1	9.14	32.2	466	50	16	40	239
7	427	2.24e-08	7.65	5.32	6	-38	24	2	-29.7	26.5	419	0	-30	26	238
6	283	3.7e-06	5.43	4.82	30	-6	52	29.8	0.339	52.8	343	42	8	60	179
5	280	4.17e-06	5.38	5.44	46	-34	54	47.6	-37	50.9	336	48	-32	58	210
4	167	0.000453	3.34	4.32	-56	-40	50	-57.5	-29.8	42.8	280	-62	-24	42	186
3	148	0.00109	2.96	4.52	6	-34	50	5.87	-34	46.9	265	6	-36	52	195
2	100	0.0122	1.91	4.23	24	-58	6	15.8	-64.3	6.84	397	24	-58	6	262
1	79	0.0391	1.41	4.46	28	50	18	29	49.6	19	248	28	50	18	193
