Cluster Index	Z	x	y	z	
14	5.77	10	-14	6
14	5.59	32	20	-6
14	5.57	-6	-22	0
14	5.56	-10	10	2
14	5.56	-20	10	-10
14	5.53	-20	6	-12
13	7.04	44	-80	-2
13	6.31	48	-72	4
13	6.31	30	-44	-18
13	6.26	34	-88	4
13	6.1	46	-60	-4
13	6.06	44	-58	0
12	6.61	-44	-70	2
12	6.2	-44	-74	0
12	6.13	-40	-52	-10
12	6.11	-44	-64	-2
12	5.87	-18	-100	-2
12	5.79	-28	-66	-8
11	6.04	-26	-6	48
11	5.58	-28	-4	54
11	5.42	-30	-10	46
11	4.95	-42	-16	58
11	4.74	-48	8	40
11	4.71	-22	-26	76
10	6.24	-28	-54	48
10	6.15	-32	-56	48
10	4.75	-26	-68	28
10	4.36	-42	-32	40
10	4.28	-42	-46	48
10	4.2	-24	-74	32
9	5.7	8	30	32
9	5.37	2	18	62
9	4.97	2	30	42
9	4.75	6	30	38
9	4.75	10	36	22
9	4.67	6	20	44
8	6.1	46	16	38
8	5.61	34	8	32
8	5.57	40	14	36
8	5.5	44	6	32
8	5.14	44	0	22
8	3.94	58	6	24
7	5.32	6	-38	24
7	4.65	-4	-30	26
7	4.29	2	-20	30
7	3.71	2	-14	30
7	3.54	-4	-20	30
7	3.33	-4	-28	40
6	4.82	30	-6	52
6	4.63	44	4	60
6	4.46	28	0	58
6	4.28	26	4	46
6	4.06	24	6	54
6	3.6	46	-2	56
5	5.44	46	-34	54
5	4.14	50	-44	50
4	4.32	-56	-40	50
4	4.26	-62	-24	44
4	3.82	-58	-26	34
4	3.77	-56	-30	48
4	3.76	-50	-40	46
4	3.57	-56	-28	42
3	4.52	6	-34	50
3	3.99	4	-34	42
3	3.34	12	-40	36
2	4.23	24	-58	6
2	3.71	16	-64	6
2	3.53	8	-72	6
2	3.48	10	-80	10
1	4.46	28	50	18
1	3.31	26	44	26
