Cluster Index	Z	x	y	z	
16	9.59	-24	-58	60
16	9.52	-34	-20	68
16	9.12	-56	-24	40
16	8.92	-36	-22	64
16	8.72	-34	-30	42
16	8.58	-56	-28	50
15	8.79	50	-66	-6
15	7.47	32	-88	-2
15	7.47	44	-66	-12
15	7.34	40	-84	-2
15	7.28	44	-68	-16
15	6.72	38	-80	-8
14	7.36	-32	-70	-6
14	7.31	-34	-76	-4
14	7.18	-48	-60	0
14	6.58	-34	-90	4
14	6.57	-28	-92	0
14	6.31	-30	-52	-22
13	7.15	-4	4	48
13	6.93	-2	-4	64
13	6.92	-2	4	54
13	6.6	0	-2	58
13	6.11	8	26	34
13	6.05	-6	-10	56
12	5.76	-50	16	-2
12	5.68	12	6	6
12	5.58	-42	-6	10
12	5.43	-12	-14	8
12	5.25	-30	16	12
12	5.07	-36	-6	14
11	7.11	-46	-46	6
11	6.8	-52	-44	26
11	6.68	-46	-48	12
11	5.32	-52	-54	14
11	4.76	-52	-42	4
11	4.63	-46	-40	20
10	6.62	34	0	64
10	5.16	36	2	48
10	4.4	28	14	70
10	4.25	24	16	70
10	3.79	28	8	52
10	3.78	36	8	46
9	5.78	24	-60	-54
9	5.32	24	-64	-48
9	4.99	14	-68	-46
9	4.92	26	-50	-52
9	4.49	12	-58	-50
9	3.38	14	-50	-42
8	7	-58	8	26
8	5.4	-56	-2	38
8	5.25	-60	6	12
8	5.19	-62	2	32
8	4.82	-54	0	2
8	4.16	-48	6	36
7	5.89	38	-2	14
7	5.23	52	18	-2
7	4.22	34	12	10
7	4.14	42	12	0
7	4.1	36	8	6
7	4	46	4	-2
6	6.46	56	4	8
6	4.74	56	8	22
6	4.02	42	8	22
6	3.88	58	12	0
5	4.4	34	48	24
5	3.89	38	52	14
5	3.65	38	44	6
5	3.63	42	46	10
5	3.58	36	42	2
5	3.41	36	44	30
4	4.89	-50	32	22
4	4.84	-42	32	28
4	3.62	-48	26	30
3	5.58	-32	46	30
3	3.78	-24	36	24
2	4.89	-26	-64	-54
2	4.56	-24	-56	-52
2	3.14	-32	-64	-48
1	4.16	-22	50	18
1	4.15	-28	54	12
1	3.92	-28	58	16
1	3.53	-26	62	20
1	3.42	-22	66	14
