Cluster Index	Z	x	y	z	
11	7.37	-40	-42	50
11	6.81	-54	4	6
11	6.75	-36	-32	36
11	6.64	-56	2	38
11	6.55	-34	16	10
11	6.16	-62	-26	20
10	8.62	-44	-80	4
10	6.86	-44	-64	-10
10	6.59	-18	-86	-4
10	5.94	-40	-62	14
10	5.73	-52	-56	12
10	5.61	-22	-80	30
9	7.1	42	-88	0
9	7.06	44	-56	-12
9	6.87	46	-78	4
9	6.71	38	-84	8
9	6.44	50	-74	0
9	6.33	32	-94	8
8	5.72	2	2	50
8	5.65	4	6	50
8	5.64	6	12	40
8	5.53	40	12	0
8	5.3	-8	6	44
8	5.19	0	12	36
7	6.9	64	-26	16
7	6	42	-40	48
7	5.68	60	-38	26
7	5.52	54	-16	38
7	5.25	54	-20	34
7	5.18	66	-20	20
6	5.04	-16	-70	-46
6	4.17	-6	-74	-46
5	4.19	34	48	22
5	4.01	30	58	28
5	3.69	44	54	16
5	3.31	42	58	16
4	4.82	-34	36	14
4	4.17	-34	50	28
4	4.08	-40	46	22
3	4.79	0	-32	-42
3	3.65	8	-26	-42
3	3.54	8	-28	-38
3	3.23	4	-38	-48
2	4.07	16	-32	38
2	3.84	14	-30	48
2	3.65	8	-26	46
1	4.57	24	8	-10
1	3.83	20	18	-2
1	3.33	26	20	4
