Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	12511	0	86.4	11	-46	-82	2	-4.09	-69.3	15.4	808	-46	-82	2	230
15	1183	2.23e-17	16.7	6.87	-30	26	2	-33.1	8.98	-0.104	464	-50	14	-8	208
14	695	6.31e-12	11.2	6.08	-8	8	50	0.581	10.4	44.2	425	0	12	40	223
13	440	1.46e-08	7.84	6.68	-62	-20	22	-58.2	-23.4	19.4	602	-50	-28	14	248
12	422	2.65e-08	7.58	6.44	-50	-52	16	-54.5	-47.3	23.2	481	-58	-44	34	233
11	382	1.19e-07	6.92	5.72	44	8	36	43.2	8.47	44.1	482	34	10	64	251
10	364	1.79e-07	6.75	6.2	20	6	-8	23.8	3.84	-1.5	328	20	6	-8	188
9	334	5.36e-07	6.27	6.25	-10	-22	4	-14.8	-20.9	5.27	296	-10	-22	4	173
8	303	1.73e-06	5.76	5.41	-36	0	28	-48.4	3.61	23.1	434	-52	6	22	214
7	225	3.7e-05	4.43	5.14	-28	54	26	-27.1	54	26.2	376	-28	58	26	206
6	184	0.000212	3.67	4.57	50	-34	30	58.5	-33.4	35.2	383	62	-32	40	218
5	179	0.000264	3.58	5.61	38	18	4	35.6	23.8	1.9	341	36	18	4	191
4	149	0.00104	2.98	7.68	-4	-2	78	-4.05	-3.8	76.7	890	-4	-2	78	348
3	127	0.00303	2.52	5.9	52	-44	16	52.5	-43.8	14.9	323	56	-44	16	203
2	97	0.0144	1.84	4.02	2	-70	-36	3.18	-72	-36.3	223	2	-70	-36	160
1	86	0.0263	1.58	4.74	-2	-8	54	-1.92	-9.48	55.6	312	-2	-8	56	207
