Cluster Index	Z	x	y	z	
16	7.13	-22	-94	10
16	6.75	-44	-64	2
16	6.72	-28	-76	24
16	6.64	-36	-88	-2
16	6.52	-24	-88	24
16	6.5	-48	-66	-6
15	7.34	0	-6	62
15	6.46	2	6	50
15	6.36	-4	-10	74
15	6.28	2	10	52
15	6.28	0	-8	68
15	6.26	6	-6	72
14	7.37	36	-44	40
14	7.3	34	-84	24
14	7.21	30	-88	26
14	6.35	30	-56	42
14	6.04	34	-76	30
14	5.89	30	-56	50
13	7.91	36	28	4
13	6.96	50	20	-6
13	6.78	34	20	8
13	6	54	14	-2
13	5.55	54	14	2
13	5.47	48	20	8
12	7.04	56	12	32
12	6.64	56	24	30
12	5.77	48	12	32
12	5.6	50	26	24
12	4.71	48	8	26
12	4.57	56	14	44
11	6.91	-36	18	8
11	5.92	-32	30	2
11	5.9	-32	26	4
11	5.07	-34	24	-4
11	4.71	-40	8	4
11	4.47	-50	14	-4
10	6.11	-38	-40	52
10	5.39	-42	-36	40
10	5.3	-44	-44	50
10	5.03	-42	-26	68
10	4.27	-40	-24	62
10	3.17	-38	-50	44
9	6.01	-58	-26	34
9	5.65	-58	-34	24
9	4.64	-52	-28	20
9	4.1	-48	-38	26
9	3.99	-50	-28	40
9	3.84	-66	-38	22
8	6	52	-42	24
8	5.06	64	-36	26
8	4.66	64	-34	10
8	4.1	68	-38	8
7	4.77	-28	-72	42
7	4.66	-36	-66	56
7	4.42	-34	-70	50
7	4.37	-24	-70	50
7	4.35	-38	-58	56
6	4.63	34	-42	-30
6	4.59	22	-52	-24
6	4.58	20	-48	-26
6	4.45	30	-44	-28
6	3.36	28	-38	-36
6	3.15	30	-58	-22
5	6.95	-60	2	42
4	5.92	-26	-8	58
4	5.13	-30	-6	52
4	3.41	-26	-16	54
3	4.88	26	-54	-52
3	4.63	24	-62	-48
3	3.97	20	-66	-50
3	3.51	12	-62	-48
2	5.36	56	-66	8
2	4.97	52	-68	6
2	4.27	46	-64	6
1	5.92	40	-88	-2
