Cluster Index	Z	x	y	z	
19	8.99	-38	-14	70
19	8.94	-60	-22	32
19	8.22	-50	-32	60
19	7.38	-62	-26	48
19	7.36	-50	-24	24
19	7.34	-14	-54	64
18	7.02	58	-40	24
18	6.11	36	-46	46
18	6.03	64	-40	24
18	5.66	46	-28	64
18	5.59	36	-22	70
18	5.59	46	-38	54
17	6.59	-6	4	42
17	6.37	2	-34	28
17	6.19	0	-4	46
17	5.97	0	-8	60
17	5.92	-8	-10	52
17	5.83	0	-4	40
16	8.77	-36	-86	-4
16	7.51	-36	-86	-14
16	7.14	-48	-70	-18
16	6.52	-40	-68	-10
16	6.13	-34	-52	-24
16	5.99	-48	-70	-2
15	8.81	36	-88	-2
15	6.75	34	-80	26
15	6.47	30	-62	30
15	6.16	34	-70	32
15	5.89	18	-68	40
15	5.6	30	-94	10
14	6.7	-8	-16	8
14	6.69	-44	-2	6
14	5.61	-42	10	2
14	5.37	-40	6	0
14	4.8	-46	12	-4
14	4.68	-18	-22	12
13	6.03	36	-2	14
13	5.89	56	6	4
13	5.82	58	8	26
13	5.67	10	-12	8
13	5.37	48	4	20
13	5.04	26	-2	4
12	7.07	54	-62	-16
12	5.93	46	-70	-12
12	5.93	34	-46	-20
12	4.61	50	-52	-28
12	4.14	40	-48	-28
12	3.97	50	-46	-8
11	7.14	30	-4	52
11	5.08	20	8	70
11	3.65	28	8	56
11	3.44	26	6	50
10	6.14	-60	4	36
10	5.5	-44	0	36
10	5.34	-58	4	26
10	4.43	-40	4	26
10	3.77	-52	-2	42
9	4.99	30	46	26
9	4.2	30	30	28
9	3.93	28	52	38
9	3.88	30	44	34
9	3.61	24	54	32
8	4.21	0	-74	18
8	4.14	-2	-72	14
8	4.1	14	-64	8
8	3.82	0	-78	6
8	3.71	-12	-72	16
8	3.15	-10	-80	8
7	4.86	16	-72	-20
7	4.27	22	-64	-14
6	4.6	-14	-74	-18
6	3.63	-6	-72	-20
6	3.58	-4	-74	-10
5	4.54	-28	-76	38
5	4.17	-26	-66	34
5	3.51	-26	-72	26
4	3.88	20	-56	-52
4	3.48	20	-46	-48
3	4.94	-28	28	6
3	3.78	-30	22	0
3	3.75	-26	26	-2
3	3.67	-32	34	0
2	4.43	-30	-78	14
2	3.7	-42	-84	26
2	3.6	-38	-82	24
2	3.43	-42	-76	18
1	4.75	-24	-52	-46
