Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	5595	0	49.8	7.37	-40	-42	50	-36	-16.2	26.9	721	-40	-22	68	246
10	5448	0	48.9	8.62	-44	-80	4	-16.5	-68.3	-4.07	611	-42	-86	4	242
9	2446	9.45e-29	28	7.1	42	-88	0	36.1	-75	13.5	527	50	-58	-16	249
8	2334	7.71e-28	27.1	5.72	2	2	50	18.9	3.76	39.1	647	58	14	0	241
7	1377	2.54e-19	18.6	6.9	64	-26	16	57.5	-27	31.5	453	64	-28	16	246
6	168	0.000433	3.36	5.04	-16	-70	-46	-16.1	-71	-47.4	295	-6	-72	-48	212
5	150	0.000996	3	4.19	34	48	22	34.3	52.1	23.3	442	30	58	28	288
4	146	0.0012	2.92	4.82	-34	36	14	-35.3	44	21.1	341	-30	56	28	233
3	111	0.00684	2.17	4.79	0	-32	-42	-0.147	-30.1	-42.8	248	0	-32	-42	191
2	86	0.0263	1.58	4.07	16	-32	38	12.6	-29.8	43.6	268	12	-30	46	200
1	77	0.0439	1.36	4.57	24	8	-10	22.6	12.5	-5.64	441	22	10	-10	256
