Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	1828	1.6e-23	22.8	6.11	-48	-64	-6	-35.2	-76.8	-2.48	409	-46	-72	6	231
20	1354	4.26e-19	18.4	5.95	48	-62	-12	39.8	-73.8	-2.93	424	54	-68	-4	219
19	1192	1.81e-17	16.7	6.72	-50	-2	-2	-30.9	-2.89	1.65	431	-50	-2	-2	221
18	1154	4.45e-17	16.4	6.37	42	0	12	39	3.83	1.29	422	58	12	-4	216
17	1068	3.57e-16	15.4	5.8	-26	-56	58	-34.6	-45.3	49	628	-26	-58	58	250
16	981	3.1e-15	14.5	6.95	-2	0	60	-1.47	6.29	51.2	625	0	0	60	280
15	641	2.96e-11	10.5	5.93	34	-58	54	33.1	-52.3	48.6	395	40	-42	62	228
14	525	9.64e-10	9.02	5.39	66	-38	26	57.9	-46.4	12.4	410	60	-60	12	233
13	451	1.02e-08	7.99	5.49	30	-54	-20	29.8	-46.4	-22.4	411	30	-56	-20	224
12	356	2.38e-07	6.62	5	52	4	34	49	4.12	32.5	365	48	8	28	234
11	206	8.18e-05	4.09	4.85	-54	8	32	-52.2	5.78	31.7	365	-54	8	32	222
10	119	0.00453	2.34	4.09	0	-56	50	-0.372	-53.1	51.5	305	4	-62	56	229
9	115	0.00556	2.25	4.21	10	-16	4	9.44	-16.5	5.15	345	10	-16	8	237
8	112	0.00649	2.19	4.62	-60	-34	30	-57.6	-38.3	27	283	-60	-40	24	219
7	111	0.00684	2.17	4.39	-10	-22	48	-8.17	-18.3	44.7	281	-8	-24	50	203
6	105	0.00936	2.03	4.26	-62	-18	18	-60.7	-19.9	20.1	299	-62	-20	14	223
5	98	0.0136	1.87	5.79	62	-18	24	62.2	-19.5	21.4	371	66	-22	24	259
4	94	0.0169	1.77	4.56	-40	38	18	-39	36.9	18.6	289	-42	40	20	218
3	91	0.0199	1.7	4.54	-40	-2	56	-38.2	-2.34	54.7	309	-38	0	54	213
2	90	0.0211	1.68	4.66	-44	-50	12	-45	-50.6	13.9	286	-44	-50	12	207
1	84	0.0295	1.53	4.03	30	44	36	30	39.7	31.6	336	34	42	38	210
