Cluster Index	Z	x	y	z	
16	11	-46	-82	2
16	10.7	-30	-92	-6
16	9.65	-42	-78	-4
16	9.62	-40	-88	4
16	8.55	32	-52	-16
16	8.55	6	-96	4
15	6.87	-30	26	2
15	6.5	-20	8	0
15	5.7	-52	2	-2
15	5.29	-28	-2	-2
15	5.24	-46	18	-4
15	5.17	-50	12	-8
14	6.08	-8	8	50
14	4.93	-2	12	40
14	4.86	6	10	42
14	4.69	10	8	36
14	4.27	8	18	44
14	4.25	8	24	32
13	6.68	-62	-20	22
13	5.5	-50	-28	14
13	5.47	-56	-22	14
13	3.83	-62	-22	8
13	3.76	-62	-26	34
13	3.45	-36	-22	18
12	6.44	-50	-52	16
12	6.26	-58	-44	34
12	4.39	-62	-54	20
12	4.1	-62	-48	14
12	4.08	-46	-40	28
12	3.49	-62	-46	24
11	5.72	44	8	36
11	5.3	38	8	60
11	5.22	40	6	30
11	4.98	50	12	40
11	4.26	48	6	56
11	3.88	52	10	50
10	6.2	20	6	-8
10	6.07	26	6	0
10	3.68	22	4	16
10	3.55	24	0	12
10	3.26	22	10	10
10	3.26	26	-8	10
9	6.25	-10	-22	4
9	6.23	-14	-18	2
9	3.71	-30	-20	8
9	3.7	-28	-22	4
9	3.56	-18	-34	6
9	3.35	-26	-30	10
8	5.41	-36	0	28
8	5.2	-58	6	18
8	4.97	-52	6	22
8	4.44	-32	0	34
8	4.1	-56	0	18
8	3.74	-38	8	26
7	5.14	-28	54	26
7	5.04	-26	58	30
7	3.59	-22	64	24
6	4.57	50	-34	30
6	4.26	64	-32	38
6	4.19	64	-30	34
6	3.48	64	-38	48
5	5.61	38	18	4
5	5.51	36	22	6
5	5.4	32	28	2
5	3.83	32	32	-8
5	3.81	42	30	-4
4	7.68	-4	-2	78
3	5.9	52	-44	16
2	4.02	2	-70	-36
2	3.89	6	-74	-40
2	3.65	-8	-72	-30
1	4.74	-2	-8	54
1	4.15	-2	-18	52
