Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1626	1.09e-21	21	7.02	28	-90	-4	27.6	-69.4	-12.8	494	40	-78	-18	227
15	887	3.45e-14	13.5	6.07	-30	-50	-18	-31	-62.5	-17.9	447	-24	-60	-14	226
14	429	2.1e-08	7.68	5.59	-22	-96	0	-20.7	-91.2	0.569	438	-22	-96	0	236
13	422	2.65e-08	7.58	5.37	14	-74	20	2.11	-70.1	13.7	548	4	-72	20	285
12	397	5.96e-08	7.22	5.45	6	6	52	1.12	7.12	49.7	660	0	2	54	269
11	361	2.38e-07	6.62	4.75	-8	-18	8	-9.16	-18.7	-1.53	308	-8	-18	8	194
10	294	2.44e-06	5.61	4.94	56	6	42	46.2	3.45	48.1	452	44	0	58	259
9	177	0.000289	3.54	5.35	12	-16	12	11.2	-14.9	12.1	341	12	-16	10	223
8	156	0.000752	3.12	4.66	22	8	2	26.4	13.7	2.23	256	32	26	4	193
7	140	0.0016	2.79	4.3	-50	-22	58	-46.4	-26.5	55.4	450	-48	-30	62	253
6	108	0.008	2.1	4.24	30	-62	54	31	-60.9	56.9	456	34	-60	62	270
5	104	0.00987	2.01	4.82	-22	4	4	-20.8	4.49	3.04	283	-22	6	0	212
4	94	0.0169	1.77	4.52	-4	-80	2	-2.12	-77.4	0.459	408	-2	-68	-2	277
3	92	0.0189	1.72	4.53	-34	-20	58	-36.1	-18.8	64.4	440	-38	-18	72	247
2	89	0.0223	1.65	4.51	-38	-2	56	-36.2	-2.64	54.2	387	-40	0	60	228
1	86	0.0263	1.58	4.29	28	-70	38	29.2	-67.3	39.2	254	28	-70	38	206
