Cluster Index	Z	x	y	z	
13	8.07	-38	-78	-16
13	8.02	-32	-92	-6
13	6.64	-18	-88	-8
13	6.64	-16	-86	-12
13	6.4	-34	-64	-22
13	6.2	-20	-54	-16
12	9.11	44	-68	-2
12	7.61	42	-82	-2
12	7.08	20	-50	-16
12	6.66	40	-58	-22
12	6.19	16	-92	2
12	6.09	34	-56	-22
11	8.46	-30	-62	66
11	7.26	-56	-24	54
11	6.91	-36	-10	68
11	6.36	-30	-24	74
11	6.21	-44	-54	62
11	6.07	-38	-26	70
10	7.11	2	6	34
10	5.95	-2	-4	58
10	5.58	2	4	60
10	5.34	2	-10	36
10	5.33	-6	-24	46
10	5.31	8	0	36
9	5.29	38	10	34
9	5.08	54	18	46
9	5.06	34	-2	68
9	5	52	6	40
9	4.99	38	-2	64
9	4.86	44	0	58
8	7.03	38	-58	62
8	5.16	22	-62	54
8	5.08	38	-60	56
8	4.31	28	-62	54
8	4.28	42	-42	46
8	4.21	38	-46	52
7	6.8	-62	-16	16
7	5.66	-54	-16	16
7	5.58	-58	-32	14
7	4.74	-66	-18	26
7	4.08	-52	-28	16
7	3.96	-48	-24	14
6	6.68	30	-78	46
6	5.35	28	-78	26
6	5	30	-72	28
6	4.99	30	-76	22
6	4.63	32	-60	38
6	4.25	30	-68	36
5	5.5	4	-44	56
4	6	52	22	-4
3	4.49	-36	-10	0
3	4.41	-36	-6	2
3	3.97	-40	-10	-6
3	3.85	-32	-18	2
3	3.75	-36	-18	-2
2	5.19	-58	10	10
1	4.65	56	-28	56
1	4.09	56	-36	54
1	3.42	58	-40	52
