Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	2518	2.49e-29	28.6	7.13	-22	-94	10	-20.4	-79.5	-1.31	541	-30	-82	32	233
15	1153	4.56e-17	16.3	7.34	0	-6	62	0.668	1.63	57.1	835	-10	-8	78	320
14	1147	5.27e-17	16.3	7.37	36	-44	40	33.9	-66.1	36.5	780	36	-44	40	284
13	773	7.22e-13	12.1	7.91	36	28	4	43.9	18.8	3.34	745	36	28	4	299
12	697	5.96e-12	11.2	7.04	56	12	32	52.2	16.2	31.9	720	56	16	34	317
11	385	1.19e-07	6.92	6.91	-36	18	8	-36.5	19	3.07	535	-36	18	8	263
10	384	1.19e-07	6.92	6.11	-38	-40	52	-40.9	-35	52.2	669	-42	-28	70	283
9	319	9.54e-07	6.02	6.01	-58	-26	34	-56.4	-30.4	29.3	454	-60	-26	34	239
8	296	2.26e-06	5.64	6	52	-42	24	58.9	-37.8	22.2	527	64	-38	26	270
7	275	5.07e-06	5.3	4.77	-28	-72	42	-30	-67.8	49.5	503	-34	-68	58	285
6	212	6.35e-05	4.2	4.63	34	-42	-30	28.1	-45.3	-27.7	247	36	-42	-30	183
5	157	0.000718	3.14	6.95	-60	2	42	-57.4	0.67	41.2	717	-60	2	42	318
4	155	0.000788	3.1	5.92	-26	-8	58	-28.1	-9	55.8	398	-30	-10	60	241
3	101	0.0116	1.94	4.88	26	-54	-52	23.3	-59	-50.7	238	26	-54	-52	185
2	96	0.0152	1.82	5.36	56	-66	8	52.3	-66.5	7.66	301	56	-68	10	226
1	76	0.0465	1.33	5.92	40	-88	-2	38.2	-87.7	-2.23	407	40	-90	-2	236
