Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	9921	0	73.8	9.59	-24	-58	60	-7.86	-39	46.4	1.35e+03	-36	-20	68	301
15	4213	1.07e-41	41	8.79	50	-66	-6	32.4	-67.2	-12.8	974	22	-70	-16	266
14	3208	1.27e-34	33.9	7.36	-32	-70	-6	-35.2	-68.8	-10.7	967	-40	-52	-22	257
13	2691	1.07e-30	30	7.15	-4	4	48	-0.655	3.23	45.9	934	12	20	68	326
12	1536	7.54e-21	20.1	5.76	-50	16	-2	-12.3	1.6	5.92	672	-52	16	-2	224
11	539	6.25e-10	9.2	7.11	-46	-46	6	-49.8	-45.8	14.3	450	-58	-44	20	248
10	539	6.25e-10	9.2	6.62	34	0	64	34.8	2.57	58.8	991	38	4	62	310
9	532	7.76e-10	9.11	5.78	24	-60	-54	20.6	-61.1	-50.1	293	24	-60	-54	185
8	484	3.5e-09	8.46	7	-58	8	26	-56.5	3.61	24	427	-56	8	26	221
7	319	9.54e-07	6.02	5.89	38	-2	14	42.8	9.6	2.86	551	50	18	-6	265
6	277	4.71e-06	5.33	6.46	56	4	8	53.9	6.7	14.5	428	56	6	8	241
5	159	0.000654	3.18	4.4	34	48	24	36.5	47.7	20.3	336	38	48	24	228
4	147	0.00115	2.94	4.89	-50	32	22	-47	31.6	26.2	328	-48	26	30	231
3	125	0.00335	2.48	5.58	-32	46	30	-31.2	44.4	29.3	346	-32	46	30	216
2	94	0.0169	1.77	4.89	-26	-64	-54	-24.8	-59.9	-52.3	216	-26	-64	-54	170
1	81	0.0349	1.46	4.16	-22	50	18	-25.5	56.3	16.1	217	-22	52	18	174
