Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	1723	1.41e-22	21.9	8.45	-38	-30	52	-40.2	-31.5	45.9	577	-38	-30	52	258
7	851	8.89e-14	13.1	5.38	36	-50	-22	41.7	-55.2	-14.7	496	46	-50	-26	239
6	793	4.19e-13	12.4	6.38	-42	-62	-10	-42	-70	-5.61	425	-40	-82	-2	236
5	378	1.19e-07	6.92	5.2	50	-24	36	41.2	-37.1	43.4	415	34	-54	54	231
4	235	2.46e-05	4.61	5.75	36	-72	20	33.2	-71.3	22.5	431	38	-72	20	222
3	222	4.19e-05	4.38	7.19	-30	-78	18	-29	-77	19.1	567	-30	-78	18	262
2	174	0.00033	3.48	6.48	-6	-18	56	-5.44	-16.4	60.2	390	-6	-18	56	249
1	114	0.00585	2.23	5.2	-62	0	38	-58.7	1.94	34.4	452	-62	0	38	291
