Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	1083	2.47e-16	15.6	5.4	54	-64	-4	36.2	-63.7	-16.7	577	38	-50	-22	230
11	836	1.32e-13	12.9	5.54	-38	-88	14	-37.8	-82.7	2.09	403	-60	-62	10	191
10	467	6.05e-09	8.22	5.75	-30	-44	68	-41.9	-40	61.6	749	-36	-42	66	307
9	447	1.16e-08	7.94	5.97	24	-96	10	35.1	-89.9	5.44	317	46	-86	-4	201
8	174	0.00033	3.48	5.94	-28	-80	-18	-26.7	-78.9	-16.1	409	-26	-80	-18	209
7	158	0.000685	3.16	5.31	24	-70	58	17.4	-70	56.4	653	14	-72	54	386
6	135	0.00204	2.69	5.27	-28	-76	26	-26.7	-79.7	28	385	-28	-76	26	233
5	109	0.00759	2.12	4.61	36	-46	-50	35.8	-47.1	-50.4	297	36	-42	-52	174
4	98	0.0136	1.87	5.18	-10	-98	-4	-9.39	-96	-1.95	257	-10	-98	-4	176
3	92	0.0189	1.72	4.54	48	-28	40	46.2	-29.5	40.2	283	50	-30	44	206
2	82	0.033	1.48	4.53	-32	-48	-22	-32.5	-53.2	-21.6	361	-38	-58	-24	238
1	78	0.0414	1.38	4.96	-12	-14	20	-12	-15.4	18.8	325	-8	-8	18	213
