Cluster Index	Z	x	y	z	
10	5.7	-50	-76	-16
10	5.57	-44	-68	-20
10	5.46	-24	-86	-28
10	5.17	-42	-70	-24
10	4.92	-40	-58	-24
10	4.75	-44	-82	4
9	7.78	-46	-44	60
9	7.62	-50	-40	58
9	6.47	-58	-26	46
9	5.77	-56	-26	56
9	5.73	-46	-32	44
9	5.22	-58	-22	38
8	5.65	44	-74	-12
8	5.33	32	-56	-18
8	4.97	38	-54	-22
8	4.84	36	-90	-4
8	4.64	38	-86	-16
8	4.6	38	-44	-18
7	5.6	-60	6	14
7	4.92	-56	6	30
7	4.8	-52	2	32
6	5.01	-32	-82	14
6	4.99	-32	-88	14
5	4.67	20	-84	28
5	4.62	30	-70	24
5	3.91	28	-78	20
4	5.17	32	-60	60
3	5.05	-34	-8	68
3	4.74	-28	-10	74
3	3.82	-40	-4	60
2	4.97	-4	-12	56
2	4.04	8	-6	58
1	4.92	-44	-60	8
1	3.97	-48	-66	0
1	3.71	-44	-66	-4
1	3.58	-44	-70	8
