Cluster Index	Z	x	y	z	
11	10.4	-28	-92	-2
11	10	-42	-74	2
11	9.81	46	-68	-10
11	9.08	-46	-74	-8
11	9.07	-46	-62	-8
11	8.8	-28	-74	20
10	8.9	46	-54	4
10	8.76	36	-2	66
10	7.97	52	10	34
10	7.58	50	-6	58
10	7.5	44	-10	56
10	7.48	12	4	4
9	8.3	2	0	62
9	7.9	-2	-12	60
9	7.59	-6	0	62
9	7.33	0	6	68
9	7.23	6	-2	76
9	7.18	-2	-10	52
8	7.91	34	-62	54
8	7.38	36	-56	52
8	6.26	30	-72	24
8	6.08	20	-84	48
8	6.05	32	-92	8
8	5.15	42	-88	2
7	6.51	-10	-6	14
7	6.15	-10	-12	4
7	5.96	-36	-2	14
7	5.56	-28	-14	8
7	5.36	-30	-16	-4
7	5.27	-12	-18	2
6	6.52	14	-64	8
6	5.51	-8	-68	8
6	5.07	18	-78	26
6	5.01	-8	-76	2
6	4.26	24	-62	8
6	4.08	-8	-74	20
5	9.34	-48	-24	22
5	6.15	-48	-30	16
5	5.45	-50	-46	26
5	5.44	-46	-44	24
4	5.8	32	-30	76
4	5.75	28	-30	62
4	5.53	26	-30	58
4	5.08	32	-28	68
3	5.96	-56	-58	10
3	5.7	-50	-56	6
3	5.09	-60	-44	16
3	3.73	-46	-50	16
3	3.41	-50	-42	10
2	4.68	46	44	28
2	4.39	46	40	20
2	3.94	32	46	26
2	3.91	50	36	30
1	4.81	-12	-32	-4
1	4.72	-12	-24	-10
1	3.48	-2	-24	-2
1	3.41	-6	-22	-6
