Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	956	5.84e-15	14.2	5.7	-50	-76	-16	-36.5	-73.6	-17.9	702	-42	-58	-24	255
9	928	1.2e-14	13.9	7.78	-46	-44	60	-50.1	-33.6	49.1	747	-46	-46	62	269
8	714	3.69e-12	11.4	5.65	44	-74	-12	36.4	-72.4	-11.5	497	38	-66	-18	248
7	235	2.46e-05	4.61	5.6	-60	6	14	-56.9	5.26	19.9	420	-60	6	14	238
6	126	0.00319	2.5	5.01	-32	-82	14	-31.9	-88.1	13.2	337	-32	-90	16	238
5	108	0.008	2.1	4.67	20	-84	28	25.3	-78.4	26.1	286	18	-88	32	215
4	102	0.011	1.96	5.17	32	-60	60	31	-59.8	59.4	472	32	-62	60	285
3	92	0.0189	1.72	5.05	-34	-8	68	-31.8	-8.1	68.8	431	-34	-8	68	263
2	87	0.0249	1.6	4.97	-4	-12	56	-1.84	-9.58	57.3	367	-2	-10	58	266
1	79	0.0391	1.41	4.92	-44	-60	8	-45.5	-63.6	3.14	297	-44	-60	6	196
