Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	4725	4.2e-45	44.4	8.99	-38	-14	70	-41.8	-31.7	52	1.19e+03	-38	-14	70	294
18	2956	9.73e-33	32	7.02	58	-40	24	46.6	-36.7	44	923	52	-32	62	267
17	2316	1.08e-27	27	6.59	-6	4	42	-1.84	-6.71	46.8	767	-12	-8	82	278
16	2101	6.79e-26	25.2	8.77	-36	-86	-4	-38.2	-69.1	-11.8	876	-48	-70	-18	297
15	1603	1.78e-21	20.7	8.81	36	-88	-2	30.5	-81.1	17.9	1.15e+03	38	-88	-2	289
14	1325	8.24e-19	18.1	6.7	-8	-16	8	-29	-4.98	4.32	476	-48	14	-8	208
13	1294	1.68e-18	17.8	6.03	36	-2	14	39.6	1.54	10	597	60	8	4	237
12	839	1.22e-13	12.9	7.07	54	-62	-16	45.6	-57	-15.2	612	54	-62	-16	259
11	508	1.64e-09	8.79	7.14	30	-4	52	28.4	-0.841	57.7	582	28	-4	52	278
10	362	1.79e-07	6.75	6.14	-60	4	36	-51	2.7	32.2	425	-60	0	36	229
9	234	2.56e-05	4.59	4.99	30	46	26	29.7	43	30.2	379	28	48	24	242
8	211	6.63e-05	4.18	4.21	0	-74	18	2.08	-70.9	12.7	441	-2	-72	14	291
7	110	0.0072	2.14	4.86	16	-72	-20	20	-68.4	-15.9	264	24	-66	-12	205
6	90	0.0211	1.68	4.6	-14	-74	-18	-9.98	-74.5	-18	253	-16	-78	-18	189
5	86	0.0263	1.58	4.54	-28	-76	38	-27.6	-70.6	34.3	286	-28	-76	38	204
4	86	0.0263	1.58	3.88	20	-56	-52	18.3	-53.9	-50.2	237	20	-54	-52	189
3	83	0.0312	1.51	4.94	-28	28	6	-29.2	27.4	3.52	310	-28	28	6	209
2	82	0.033	1.48	4.43	-30	-78	14	-33.6	-79	18.4	288	-30	-78	14	201
1	76	0.0465	1.33	4.75	-24	-52	-46	-24	-51.6	-45.6	263	-24	-52	-46	205
