Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	3046	2.04e-33	32.7	8.07	-38	-78	-16	-30.1	-76	-8.05	706	-18	-84	-18	238
12	2276	2.32e-27	26.6	9.11	44	-68	-2	36.9	-71.1	-10.1	501	40	-58	-22	214
11	1835	1.39e-23	22.9	8.46	-30	-62	66	-38.4	-37.8	57.6	932	-30	-62	66	263
10	1245	5.21e-18	17.3	7.11	2	6	34	0.573	-0.303	41.8	899	2	6	38	298
9	492	2.72e-09	8.57	5.29	38	10	34	43	5.02	46.1	464	32	-2	68	234
8	454	9.22e-09	8.04	7.03	38	-58	62	34.7	-55	55.9	598	38	-58	62	239
7	398	5.96e-08	7.22	6.8	-62	-16	16	-58.6	-22.1	16.4	718	-62	-12	14	264
6	339	4.77e-07	6.32	6.68	30	-78	46	30.5	-73.8	34.8	519	30	-78	46	229
5	174	0.00033	3.48	5.5	4	-44	56	5.55	-42.8	54.7	419	4	-46	56	253
4	144	0.00132	2.88	6	52	22	-4	48.3	20.9	-2.37	673	52	22	-4	331
3	118	0.00477	2.32	4.49	-36	-10	0	-36	-9.84	-1.28	384	-40	-10	0	220
2	102	0.011	1.96	5.19	-58	10	10	-54	7.23	12.3	518	-58	10	10	250
1	86	0.0263	1.58	4.65	56	-28	56	57.5	-31.1	53.6	404	60	-36	54	258
