Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	999	1.97e-15	14.7	7.37	-40	-26	68	-44.6	-24.7	60.9	1.19e+03	-30	-26	74	319
13	699	5.63e-12	11.2	6.59	40	-74	-8	43.7	-69.8	-2.36	600	20	-80	-10	265
12	496	2.39e-09	8.62	6.6	-52	-68	4	-44.2	-76.4	-3.66	500	-52	-68	4	259
11	237	2.26e-05	4.64	6.8	46	-48	-20	40.3	-47.6	-19.3	358	32	-46	-18	218
10	217	5.16e-05	4.29	5.24	54	-2	48	55.4	-10.1	42.8	359	54	-2	48	227
9	172	0.000361	3.44	5.11	-32	-42	40	-35.2	-44.6	44.8	415	-40	-54	62	219
8	137	0.00185	2.73	5.75	-38	2	14	-38	1.32	12.6	461	-40	0	14	260
7	130	0.00261	2.58	4.84	14	6	36	11.3	9.07	38.4	299	10	12	38	212
6	128	0.00288	2.54	5.15	-62	-46	24	-60.7	-47	22.7	425	-64	-46	18	257
5	98	0.0136	1.87	4.74	-4	0	54	-3.13	-0.198	53.2	392	-4	0	54	254
4	94	0.0169	1.77	5.94	66	-42	20	65	-41.9	21.6	435	66	-42	20	259
3	86	0.0263	1.58	5.26	50	-24	-4	52	-24	-5.31	304	50	-24	-6	216
2	85	0.0278	1.56	4.71	-22	-92	0	-23.3	-94.9	5.65	296	-22	-94	0	202
1	78	0.0414	1.38	5.4	42	-12	66	39.1	-6.88	64.5	572	42	-12	66	294
