Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	9583	0	72	8.05	-50	-20	12	-37.8	-37.8	16.1	778	-50	-68	-6	251
14	7654	0	61.8	8.92	44	-56	-4	39.8	-56.3	9.07	846	54	-66	-8	248
13	2210	8.19e-27	26.1	7.07	8	20	40	0.267	6.5	43	752	6	20	40	255
12	2074	1.15e-25	24.9	7.93	12	-14	8	29	4.66	3.4	977	66	-4	2	270
11	1377	2.54e-19	18.6	6.61	34	10	64	38.7	7.32	50.1	869	34	10	64	259
10	709	4.25e-12	11.4	6.12	-30	-64	36	-25	-60.9	42.5	430	-28	-64	36	254
9	221	4.36e-05	4.36	4.34	-18	-66	2	-9.83	-67.3	3.19	631	2	-70	0	307
8	146	0.0012	2.92	6.26	-16	-40	-48	-8.6	-38.6	-47	337	-16	-40	-48	189
7	129	0.00274	2.56	4.88	44	2	14	40.2	-0.0584	13.7	267	42	2	16	182
6	99	0.0129	1.89	4.47	-2	-52	-42	-5.5	-52.4	-39.8	241	-2	-52	-42	188
5	98	0.0136	1.87	4.71	-26	-4	-44	-28.7	-5.45	-40.3	361	-26	-6	-44	206
4	85	0.0278	1.56	4.88	18	-26	-6	18.5	-29.4	-4.65	737	10	-36	-2	335
3	81	0.0349	1.46	4.4	-26	-54	-52	-25.2	-55	-52.9	205	-28	-54	-52	168
2	80	0.037	1.43	4.31	38	50	18	36.2	51.8	17.2	287	36	56	10	212
1	77	0.0439	1.36	4.02	-10	-40	58	-8.11	-43.6	56.8	294	-10	-40	58	200
