Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	1292	1.76e-18	17.8	6.34	44	-70	-2	36.5	-63.5	-11.8	530	26	-76	-14	241
12	807	2.87e-13	12.5	7.4	-40	-30	70	-37.1	-22	63.7	788	-30	-22	76	299
11	592	1.25e-10	9.9	6.42	-52	-72	-2	-39.6	-79.4	-4.07	496	-52	-72	-2	242
10	286	3.34e-06	5.48	5.06	-2	-6	60	0.762	-3.42	64	712	10	6	76	305
9	212	6.35e-05	4.2	7.05	-50	-44	4	-48.2	-46.6	8.49	413	-50	-44	4	210
8	166	0.000474	3.32	5.04	6	-22	28	4.88	-24.9	29.1	374	6	-22	28	234
7	136	0.00195	2.71	5.82	30	-52	50	30.2	-52	47.2	363	30	-52	50	215
6	100	0.0122	1.91	4.93	-20	-62	70	-22.1	-61.8	66.5	488	-26	-62	60	343
5	92	0.0189	1.72	4.49	2	18	40	4.13	14.3	42.1	379	2	16	40	244
4	83	0.0312	1.51	4.75	-8	-16	12	-10.2	-17.3	10.1	341	-6	-16	12	221
3	80	0.037	1.43	4.71	-24	-62	36	-24.8	-65.2	35.8	286	-24	-64	36	205
2	79	0.0391	1.41	3.9	-20	10	4	-19.4	7.56	5	193	-22	8	2	169
1	78	0.0414	1.38	4.6	40	-74	28	37.6	-69.4	26.2	365	40	-74	28	231
