Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	22368	0	128	8.64	-32	-86	-8	3.62	-65.8	-6.87	1.28e+03	26	-88	-14	269
13	7426	0	60.5	6.11	-54	8	2	2.05	-2.89	8.28	914	0	-4	8	245
12	2332	8.01e-28	27.1	7.58	-32	-22	70	-18.5	-19.7	61.6	691	-36	-18	70	261
11	545	5.2e-10	9.28	6.06	-28	-50	42	-31.2	-56.2	46.3	462	-28	-78	50	259
10	381	1.19e-07	6.92	4.66	24	68	4	30.8	58.8	13.1	569	20	70	8	264
9	374	1.19e-07	6.92	6.5	56	-24	56	51.6	-28.6	54.1	454	58	-24	56	230
8	347	3.58e-07	6.45	5.88	0	-46	22	0.416	-39.4	22.1	538	-2	-40	6	289
7	223	4.02e-05	4.4	5.05	4	24	40	3.4	25.2	37	370	4	24	40	235
6	124	0.00352	2.45	5.66	32	-24	72	32.6	-23.2	72.1	452	32	-24	74	288
5	115	0.00556	2.25	4.44	-44	8	34	-45.9	6.82	38.5	312	-44	8	36	224
4	108	0.008	2.1	4.98	4	16	72	3.01	18.9	69.6	621	4	22	68	434
3	102	0.011	1.96	4.03	40	-10	52	37.8	-10.2	51.5	216	42	-10	52	163
2	101	0.0116	1.94	4.64	-36	54	20	-34.7	47.9	20.8	306	-36	54	20	202
1	85	0.0278	1.56	5.36	-48	-18	54	-49.3	-18.2	54	453	-48	-18	54	261
