Cluster Index	Z	x	y	z	
9	8.42	42	-80	-10
9	8.07	10	-88	-6
9	8.04	16	-88	-6
9	8	30	-94	6
9	7.67	38	-86	16
9	7.67	28	-90	8
8	8.29	-58	-24	46
8	7.57	-32	-40	52
8	7.32	-38	-22	48
8	7.11	-44	-16	52
8	6.68	-26	-60	64
8	6.55	-36	-58	60
7	8.59	-38	-90	-4
7	7.76	-28	-92	2
7	6.63	-48	-80	-8
7	6.61	-32	-86	18
7	6.52	-50	-66	-14
7	6.52	-32	-90	20
6	6.79	42	-46	48
6	6.72	38	-20	46
6	6.42	48	-24	62
6	6.34	58	-24	42
6	5.77	34	-40	50
6	5.52	62	-20	50
5	7.52	8	-10	58
5	7.09	-6	-6	46
5	6.77	2	-2	54
5	5.27	6	4	56
5	5.18	-8	8	50
5	3.37	-6	-6	66
4	6.42	66	-10	16
4	5.66	68	-24	18
4	4.39	52	-20	22
3	5.49	34	-2	68
3	4.8	24	-4	54
2	5.44	-26	-62	-6
2	5.33	-26	-62	-2
1	5.59	-52	-18	14
