Cluster Index	Z	x	y	z	
12	5.4	54	-64	-4
12	5.13	28	-58	-16
12	5.12	8	-72	-14
12	5.02	46	-74	-16
12	4.92	38	-44	-28
12	4.91	34	-58	-16
11	5.54	-38	-88	14
11	5.54	-42	-80	-6
11	5.38	-46	-80	-10
11	5.15	-32	-88	-4
11	4.95	-60	-62	8
11	4.94	-34	-88	6
10	5.75	-30	-44	68
10	5.04	-56	-36	54
10	5.01	-56	-40	56
10	4.98	-40	-40	66
10	4.85	-50	-30	62
10	4.85	-46	-34	64
9	5.97	24	-96	10
9	5.65	34	-92	6
9	5.63	36	-92	10
9	5.2	40	-88	6
9	4.85	38	-90	-4
9	4.58	46	-86	-4
8	5.94	-28	-80	-18
8	4.55	-22	-84	-12
8	3.57	-24	-72	-14
7	5.31	24	-70	58
7	4.37	14	-72	54
6	5.27	-28	-76	26
6	5.2	-28	-78	30
5	4.61	36	-46	-50
4	5.18	-10	-98	-4
4	4.56	-6	-96	2
4	4.17	-8	-92	4
4	3.62	-10	-98	-12
3	4.54	48	-28	40
3	3.85	40	-32	36
2	4.53	-32	-48	-22
2	4.3	-32	-54	-20
2	3.78	-28	-60	-18
2	3.6	-36	-58	-24
1	4.96	-12	-14	20
1	3.49	-18	-24	18
1	3.43	-6	-16	16
