Cluster Index	Z	x	y	z	
16	7.02	28	-90	-4
16	6.05	38	-88	-10
16	5.6	12	-100	-4
16	5.36	40	-78	-18
16	5.34	24	-46	-24
16	5.33	20	-48	-20
15	6.07	-30	-50	-18
15	5.81	-36	-86	-12
15	5.74	-26	-60	-14
15	5.12	-22	-84	-24
15	4.79	-24	-80	-22
15	4.34	-36	-60	-10
14	5.59	-22	-96	0
14	5.52	-24	-94	-8
14	4.86	-28	-90	8
14	4.52	-12	-88	-18
14	4.33	-2	-96	-10
14	4.27	-26	-80	18
13	5.37	14	-74	20
13	4.94	2	-72	10
13	4.6	4	-76	12
13	4.37	-8	-64	6
13	4.24	-14	-64	6
13	4.16	2	-66	8
12	5.45	6	6	52
12	5.04	-6	10	50
12	4.9	0	2	54
12	4.2	4	16	40
12	4.18	-4	0	48
12	4.11	6	10	40
11	4.75	-8	-18	8
11	4.75	-8	-18	-12
11	4.51	-6	-16	-4
11	3.94	-6	-26	-20
11	3.81	-8	-24	-6
11	3.8	-6	-30	-2
10	4.94	56	6	42
10	4.84	44	0	58
10	4.31	36	-2	48
10	4.21	52	14	38
10	3.41	40	2	42
9	5.35	12	-16	12
9	3.62	16	-22	18
9	3.56	4	-10	24
8	4.66	22	8	2
8	4.21	28	16	-2
8	4.05	30	26	4
8	3.92	22	-2	10
8	3.91	22	6	-2
7	4.3	-50	-22	58
7	4.05	-46	-30	62
7	3.99	-44	-28	52
7	3.68	-40	-30	44
7	3.56	-34	-30	52
6	4.24	30	-62	54
6	3.99	32	-56	56
5	4.82	-22	4	4
5	3.27	-16	4	12
4	4.52	-4	-80	2
4	3.96	-2	-74	0
4	3.35	-2	-80	-6
3	4.53	-34	-20	58
3	4.37	-38	-18	72
3	4.06	-40	-22	64
2	4.51	-38	-2	56
2	4.37	-36	-4	50
2	4.23	-38	0	60
1	4.29	28	-70	38
1	4.21	28	-68	42
