Cluster Index	Z	x	y	z	
14	8.64	-32	-86	-8
14	8.5	-30	-72	-18
14	8.28	40	-88	2
14	8.27	40	-82	-2
14	8.2	-36	-54	-22
14	7.95	28	-52	-20
13	6.11	-54	8	2
13	5.93	10	-2	12
13	5.87	-12	-6	18
13	5.79	-16	-18	16
13	5.76	68	-26	14
13	5.68	-62	-4	14
12	7.58	-32	-22	70
12	7.22	-28	-26	74
12	6.63	-24	-26	80
12	6.24	-38	-38	70
12	5.76	-12	-24	84
12	5.72	-24	-28	64
11	6.06	-28	-50	42
11	4.37	-38	-58	56
11	4.16	-28	-76	48
11	4.13	-30	-50	32
11	4.11	-34	-64	62
11	3.77	-32	-54	66
10	4.66	24	68	4
10	4.54	32	52	12
10	4.49	30	58	14
10	4.3	28	58	18
10	4.18	36	64	18
10	4.15	26	70	8
9	6.5	56	-24	56
9	5.35	50	-24	62
9	4.57	46	-30	46
9	4.03	50	-36	60
9	3.47	40	-40	54
8	5.88	0	-46	22
8	5.28	2	-32	28
8	4.31	0	-44	12
8	3.79	-2	-42	0
7	5.05	4	24	40
7	4.18	2	32	32
7	3.62	-6	26	34
7	3.35	4	14	34
7	3.32	-4	32	40
6	5.66	32	-24	72
5	4.44	-44	8	34
5	3.8	-54	2	48
5	3.72	-48	12	38
5	3.48	-48	4	42
5	3.24	-50	4	52
4	4.98	4	16	72
3	4.03	40	-10	52
3	3.87	40	-10	48
3	3.8	32	-10	52
3	3.44	42	-18	54
2	4.64	-36	54	20
2	4.04	-34	42	20
1	5.36	-48	-18	54
