Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	11338	0	80.8	10.4	-28	-92	-2	-18.2	-54.9	11.3	881	-42	-76	-16	253
10	5429	0	48.8	8.9	46	-54	4	41.8	-8.15	27	986	36	-4	68	236
9	2792	1.75e-31	30.8	8.3	2	0	62	-0.518	-7.66	55.9	768	6	-2	78	248
8	1142	5.94e-17	16.2	7.91	34	-62	54	29.9	-69.6	39	792	36	-60	54	275
7	1124	9.15e-17	16	6.51	-10	-6	14	-23.4	-5.44	5.77	744	-10	-6	16	198
6	450	1.05e-08	7.98	6.52	14	-64	8	0.905	-69.3	9.54	488	0	-64	8	230
5	282	3.87e-06	5.41	9.34	-48	-24	22	-48.5	-30.9	22	528	-48	-24	22	246
4	255	1.1e-05	4.96	5.8	32	-30	76	29.2	-29.2	64	432	30	-30	76	214
3	223	4.02e-05	4.4	5.96	-56	-58	10	-55.5	-53.2	11.8	398	-56	-58	10	236
2	146	0.0012	2.92	4.68	46	44	28	43.5	42.4	25.4	225	48	38	22	183
1	92	0.0189	1.72	4.81	-12	-32	-4	-11	-30.1	-4.99	502	-10	-34	-4	270
