Cluster Index	Z	x	y	z	
28	9	43	9	13
28	7.27	42	11	20
28	7.2	45	16	13
28	6.98	42	17	25
28	6.85	49	20	21
28	6.85	47	16	12
27	9.46	21	9	12
27	9.01	21	10	10
27	7.27	17	13	13
27	7.07	19	14	11
27	6.84	20	18	13
27	6.26	22	21	11
26	7.58	12	25	23
26	7.05	12	23	26
26	7.02	16	23	24
26	6.8	16	20	28
26	6.71	19	23	31
26	6.58	21	25	32
25	6.31	42	45	21
25	6.14	48	37	20
25	6.12	34	30	19
25	5.99	46	35	24
25	5.88	49	36	25
25	5.22	29	29	19
24	7.08	29	27	28
24	6.91	33	35	28
24	6.24	32	31	30
24	5.64	30	31	28
24	5.58	28	34	29
24	4.64	27	24	24
23	5.45	19	32	20
23	4.96	23	33	19
23	4.41	24	35	19
23	4.4	24	34	16
23	3.94	20	30	18
23	3.9	23	32	16
22	7.35	25	14	28
22	6.06	23	10	25
22	4.24	29	12	28
22	4.07	27	9	25
22	3.84	24	13	24
22	3.41	27	16	26
21	5.59	18	31	25
21	5.2	13	32	25
21	5.08	13	28	26
21	3.87	20	34	24
21	3.66	14	33	22
20	6.44	41	29	28
20	5.25	41	30	32
20	3.84	38	33	29
19	6.64	40	41	26
19	5.79	39	44	26
19	4.37	38	48	28
19	3.77	42	45	26
19	3.67	40	45	29
19	3.54	42	46	28
18	6.9	22	43	21
18	5.26	23	41	19
18	3.62	25	39	21
17	4.43	32	11	18
17	3.95	32	10	15
17	3.77	30	12	17
16	4.19	36	40	18
16	4.04	35	36	20
16	3.74	32	35	19
16	3.2	37	35	20
15	5.72	19	37	19
15	4.85	16	39	18
15	3.82	15	41	16
14	5.93	47	27	16
13	5.09	30	23	22
13	4.98	32	24	22
13	4.92	33	22	22
12	4.51	37	18	5
11	4.47	20	42	28
11	4.05	20	40	28
11	3.96	18	41	28
10	4.6	36	23	5
10	3.97	37	25	6
10	3.15	39	24	5
9	5.02	43	17	19
9	4.73	44	15	19
8	4.52	16	32	17
8	4.14	16	34	20
8	3.55	14	36	17
7	4.93	33	28	33
7	3.72	34	30	34
6	4.42	50	17	17
6	4.25	50	19	17
5	4.07	34	13	28
4	4.8	26	18	8
3	4.75	41	22	32
2	4.1	25	23	6
1	5.47	40	28	6
