Cluster Index	Z	x	y	z	
25	7.81	-63.6	-22.9	28.4
25	7.09	-39.6	-18.6	67.4
25	6.61	-50.2	-31.7	56.4
25	6.52	-20.9	-51.1	61.4
25	6.47	-63.4	-24.8	44.4
25	6.42	-50.6	-26.1	18.6
24	7.59	36.2	-89.5	-5.9
24	7.1	33.7	-81	22.5
24	7.1	53.4	-64	-19.6
24	6.29	27.7	-62.7	27.3
24	6.23	33.9	-51	-22.9
24	5.99	43.3	-71.4	-11.8
23	8.21	-36.7	-88	-19.3
23	7.8	-36.6	-88.3	-8.91
23	6.97	-49.2	-71.1	-8.66
23	6.72	-46.2	-74	-18.2
23	6.03	-39.4	-69.8	-14.6
23	5.78	-35.8	-54.3	-29.8
22	6.69	58	-42.3	19.9
22	6.21	35.1	-48.2	43.1
22	5.7	38.8	-33	38.3
22	5.45	59	-24.8	45.3
22	5.25	33.1	-22.9	71.4
22	5.06	55.2	-28.6	20.9
21	6.3	-0.0432	-5.63	36.3
21	6.14	-6.65	-11.8	48.7
21	5.81	-7.02	-22.4	46.9
21	5.65	7.23	12.2	40.8
21	5.27	3.84	2.9	54.1
21	5.19	-2.56	20.4	33.4
20	5.96	36.1	6.12	0.48
20	5.8	55.9	5.4	0.0172
20	5.78	43.3	9.8	24.8
20	5.71	62.5	2.1	0.816
20	5.63	9	-15.8	3.06
20	5.47	59.7	6.14	25.4
19	5.89	-43.6	-4.66	1.43
19	5.46	-24.1	-6.5	-14.1
19	5.17	-50	0.042	5.34
19	5.11	-33.5	1.11	-0.709
19	5.03	-40	7.47	-2.46
19	4.65	-49.8	12.6	-8.85
18	6	-59.5	1.26	31
18	4.75	-46.3	-2.28	31.7
18	4.19	-39.7	2.21	24.9
18	4.16	-59.7	-9.6	39.6
18	3.91	-29.8	1.85	24.7
18	3.57	-46.2	5.51	24.1
17	6.12	29.8	-6.97	46
17	5.2	33.7	1.56	63.8
17	4.96	39.9	-5.94	50.4
16	5.6	-7.6	-18.2	4.39
16	4.22	-11.3	-20.6	-15.3
16	4.09	-14.5	-27.2	7.41
16	3.91	-11.2	-20.9	-4.95
16	3.79	-17.1	-8.95	12.1
16	3.68	-7.27	-5.97	0.582
15	4.6	30.8	36.2	22.2
15	4.23	31	35.9	32.6
15	3.92	30.6	27	25.1
14	4.69	36.9	32	-2.43
14	4.03	40	22.7	0.349
13	4.05	14	-66.1	3.06
13	3.83	0.311	-79.3	2.47
13	3.8	0.81	-67.3	9.04
13	3.69	-6.17	-77.7	7.34
13	3.39	0.684	-75.1	16.6
13	3.34	20.8	-61.9	6.67
12	5.33	-29.5	22.2	2.92
12	3.58	-29.1	39.1	-7.51
12	3.39	-35.8	38	-12.1
11	4.91	54.7	-27.8	-10.3
11	3.8	61.5	-21.9	-12.3
10	5.13	-1.21	-35.7	25.1
9	4.5	16.2	-72.4	-51.7
8	4.51	-15.9	-6.11	78.2
7	4.15	-1.57	-20.7	-25.9
7	3.83	-5.33	-34.2	-26.8
6	4.19	-2.72	20.7	23.1
6	3.54	10.6	23.2	21.8
5	4.61	3.74	-65.2	-17.5
4	4.63	40.8	-62.9	16.6
4	4.22	37.6	-56.7	14.8
3	4.17	-30.1	-75.5	-44
2	3.94	10.9	5.19	73.8
2	3.42	14.3	11.2	71.8
1	4.89	-35.3	29.1	37
1	4.02	-35.1	35.2	35.1
