Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
28	904	0	76.9	9	36.2	-89.5	-5.9	41.5	-60.5	12.8	1.67e+03	39.5	-89.7	-5.97	370
27	543	0	54.2	9.46	-36.6	-88.3	-8.91	-33.8	-73	-14.3	1.47e+03	-36.7	-88	-19.3	395
26	531	0	53.3	7.58	-63.6	-22.9	28.4	-44.8	-26.7	44.9	1.55e+03	-39.6	-15.6	66.5	384
25	312	1.42e-37	36.8	6.31	36.9	32	-2.43	29	-0.669	6.82	932	55.9	5.4	0.0172	349
24	264	1.74e-33	32.8	7.08	-6.65	-11.8	48.7	-0.738	-0.808	43.1	858	3.84	9.3	41.8	376
23	99	7.84e-17	16.1	5.45	-40.3	-6.44	7.02	-28.7	-5.18	-1.43	564	-17.4	-3.68	-15.2	292
22	89	1.35e-15	14.9	7.35	-20.9	-51.1	61.4	-21.8	-58.1	57.7	843	-17.7	-54.3	62.3	375
21	67	1.07e-12	12	5.59	-43	-2.4	31.6	-51.3	-1.83	31.6	588	-59.5	-1.8	32	336
20	64	2.8e-12	11.6	6.44	33.2	-7.09	45.9	31.1	-4.62	53.2	782	29.8	-10	46.9	405
19	57	2.82e-11	10.5	6.64	30.6	27	25.1	31	36.7	25.8	770	30.7	30	24.1	372
18	41	8.18e-09	8.09	6.9	-29.3	28.3	1.01	-28.9	24.1	-0.665	671	-29.3	28.3	1.01	326
17	31	4.17e-07	6.38	4.43	0.684	-75.1	16.6	-1.88	-75.9	9.66	534	0.684	-75.1	16.6	383
16	31	4.17e-07	6.38	4.19	16.3	13.2	-11.3	13.7	7.6	-6	414	2.72	-3.27	-0.603	298
15	31	4.17e-07	6.38	5.72	-40	7.47	-2.46	-43.9	8.75	-7.17	683	-49.8	12.6	-8.85	411
14	27	2.26e-06	5.64	5.93	51.3	-30.7	-9.22	54.9	-28.9	-9.04	554	54.7	-27.8	-10.3	331
13	25	5.36e-06	5.27	5.09	-4.43	-32.5	24.2	0.835	-30.8	24.5	608	2.26	-29.7	23.1	419
12	20	5.32e-05	4.27	4.51	16.2	-72.4	-51.7	17.7	-72.5	-51.3	333	19.7	-68.1	-48	274
11	16	0.000384	3.42	4.47	-35.1	35.2	35.1	-35.4	32.8	35.9	360	-35.1	35.2	35.1	275
10	15	0.000645	3.19	4.6	13.3	-57	-56.4	16.5	-55.2	-53.7	334	13.3	-57	-56.4	278
9	14	0.0011	2.96	4.52	-50.5	-10.3	-6.89	-51.8	-2.57	-1.41	401	-50.5	-10.3	-6.89	278
8	14	0.0011	2.96	5.02	37.6	-56.7	14.8	41	-61.6	14.3	434	40.8	-62.9	16.6	321
7	9	0.0193	1.71	4.07	8.7	-55.3	61.7	13.9	-52.2	63.9	441	8.7	-55.3	61.7	337
6	9	0.0193	1.71	4.93	7.27	-2.21	71	8.85	0.851	73.2	665	7.39	-0.818	75.7	509
5	9	0.0193	1.71	4.8	-19.8	-66.9	-36.7	-19.9	-67	-36.7	384	-19.8	-66.9	-36.7	305
4	9	0.0193	1.71	4.42	60.5	-60.3	4.79	59.9	-57.8	6.76	531	60.6	-58.9	9.5	376
3	8	0.0361	1.44	4.1	-22.9	-54.3	-50.8	-26.5	-53.8	-50.9	328	-22.9	-54.3	-50.8	266
2	8	0.0361	1.44	5.47	27	-40.8	-56.8	26.4	-40.9	-57.2	388	27	-40.8	-56.8	310
1	8	0.0361	1.44	4.75	33.1	-22.9	71.4	33.1	-23.6	69.2	577	33.1	-22.9	71.4	426
