Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
25	616	0	59.1	7.81	12	25	23	18.4	21.1	26.2	1.59e+03	19	24	31	372
24	445	0	47.2	7.59	43	9	13	43	13.8	15.2	1.44e+03	44	9	13	381
23	390	8.55e-44	43.1	8.21	21	10	10	21	14	12.3	1.31e+03	21	10	10	394
22	377	8.66e-43	42.1	6.69	49	21	21	45.9	20.6	24.6	1.04e+03	46	21	30	353
21	285	2.65e-35	34.6	6.3	31	30	26	30.5	30.1	27.6	697	32	26	30	374
20	268	7.78e-34	33.1	5.96	42	37	20	42.6	35	20.1	966	50	36	20	351
19	197	2.47e-27	26.6	5.89	18	33	19	20.5	34.9	18.6	693	16	39	17	316
18	71	3.03e-13	12.5	6	13	32	25	15.7	31.7	24.7	643	13	32	25	318
17	61	7.46e-12	11.1	6.12	40	29	28	40.3	29	29.7	711	40	28	28	387
16	55	5.55e-11	10.3	5.6	29	29	19	28.1	29.4	18.3	470	29	29	19	279
15	28	1.43e-06	5.84	4.69	42	45	21	41.3	43.4	21	431	42	45	21	303
14	28	1.43e-06	5.84	4.6	40	44	26	39.7	44.6	26.8	479	40	45	27	378
13	27	2.26e-06	5.64	4.05	36	15	16	33.6	13.7	16.7	531	32	14	17	378
12	25	5.36e-06	5.27	5.33	22	41	21	21.6	43.5	20.1	457	22	41	21	299
11	24	8.34e-06	5.08	4.91	48	28	16	47.5	27.5	16.2	469	48	28	16	303
10	17	0.000231	3.64	5.13	31	22	22	31.6	22.2	22	560	31	22	22	426
9	14	0.0011	2.96	4.5	37	18	5	37.5	18.2	4.76	326	37	17	5	262
8	13	0.00189	2.72	4.51	26	26	34	25.7	26.9	33.6	1e+03	26	27	34	637
7	12	0.0033	2.48	4.15	31	31	13	30.8	29.8	12.3	476	32	31	13	286
6	11	0.00584	2.23	4.19	30	39	25	32	39.2	24.8	394	30	39	25	269
5	10	0.0105	1.98	4.61	33	17	12	33	16.9	11.8	435	33	17	12	313
4	9	0.0193	1.71	4.17	23	16	6	22.9	15.8	5.91	420	23	16	6	333
3	9	0.0193	1.71	3.94	34	30	34	33.9	30.2	33.8	591	33	32	34	489
2	9	0.0193	1.71	4.63	44	15	19	44.1	15.1	18.8	426	44	15	19	304
1	8	0.0361	1.44	4.89	20	40	28	20.3	41.2	28.2	328	21	42	29	286
