Cluster Index	Z	x	y	z	
12	8	-32	-12	70
12	6.95	-38	-16	66
12	6.53	-38	-14	58
12	6.52	-40	-14	62
12	6.46	-18	-64	60
12	6.28	-54	-24	22
11	8.14	-18	-80	-12
11	7.79	-42	-86	4
11	7.78	-52	-70	0
11	6.41	-36	-80	-12
11	6.14	-36	-86	-6
11	5.89	-40	-62	-10
10	7.75	44	-76	-18
10	7.69	42	-88	8
10	6.92	48	-86	-2
10	6.28	46	-64	-6
10	6.28	46	-62	-10
10	5.75	44	-58	-16
9	8.07	22	-70	60
9	6.5	24	-60	40
9	6.5	22	-64	46
9	6.12	40	-40	38
9	6.05	50	-38	60
9	5.99	12	-68	56
8	5.52	34	-6	68
8	5.25	40	2	62
8	5.05	26	-8	54
8	4.78	44	0	58
8	4.73	22	-6	74
8	4.1	32	-2	50
7	4.79	-8	-6	54
7	4.49	6	8	58
7	4.41	-2	16	46
7	4.4	-2	0	50
7	4.38	0	2	58
7	3.86	-8	12	48
6	5.8	46	12	28
6	5.41	42	10	24
6	5.32	40	8	28
6	4.93	46	4	38
6	4.23	48	10	42
5	5.24	-32	22	8
4	6.21	-54	6	22
3	4.44	-42	-2	12
3	4.28	-50	6	2
3	4.21	-36	-4	18
2	4.48	-38	2	40
2	4.36	-36	4	34
2	3.39	-28	10	34
1	4.6	-54	-54	8
1	3.82	-58	-50	16
