Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	3871	3.34e-40	39.5	8.53	42	-60	44	33	-71.6	7.97	904	48	-62	44	265
9	2773	5.23e-32	31.3	10.8	-38	-72	-12	-34.1	-82.2	-1.89	841	-38	-72	-12	290
8	862	3.33e-14	13.5	9.64	-32	-62	54	-41.7	-48.2	49.1	928	-38	-66	56	292
7	299	1.49e-06	5.83	5.98	62	16	32	56.8	11.2	31.4	451	62	6	40	243
6	183	0.000177	3.75	6.28	-30	-10	74	-24.9	-7.15	74.1	877	-30	-10	74	389
5	181	0.000193	3.71	4.99	66	-28	40	58.9	-33.5	47.4	577	48	-40	66	259
4	144	0.0011	2.96	4.87	52	22	-4	46.6	21.5	-2.99	409	54	20	-4	237
3	141	0.00127	2.9	6.05	-58	2	44	-56.5	0.0958	41.7	611	-58	2	44	260
2	122	0.0033	2.48	5.71	-50	-22	18	-48.4	-22.4	18.9	372	-52	-20	16	249
1	88	0.0208	1.68	4.04	6	-70	-20	6.66	-71.7	-19.8	268	0	-80	-24	196
