Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	3675	8.38e-39	38.1	8.56	-38	-78	-16	-30.5	-73.4	-9.73	768	-18	-84	-18	251
19	3235	1.44e-35	34.8	9.04	44	-68	-2	35.5	-70.6	-11	638	40	-58	-22	231
18	1468	1.23e-20	19.9	7.84	30	-80	46	32.6	-63.3	45.6	632	30	-80	46	250
17	1376	9.95e-20	19	6.62	-2	-4	58	0.0626	-2.4	44.9	841	2	6	38	291
16	1265	1.33e-18	17.9	9.1	-34	-10	68	-41.6	-16.5	62.4	756	-30	-22	74	287
15	820	1.04e-13	13	8.5	-28	-62	66	-30	-58.1	59	956	-30	-62	66	296
14	667	7.85e-12	11.1	6.61	24	-10	72	40.3	3.73	49.3	542	24	-10	72	253
13	281	2.92e-06	5.53	5.26	18	-60	-56	4.27	-66.2	-48.4	394	8	-64	-50	196
12	233	2.03e-05	4.69	6.93	-56	-16	16	-58.9	-15.5	17	692	-60	-12	14	314
11	202	7.61e-05	4.12	6.21	50	22	-4	45.7	19.6	-0.656	706	52	22	-4	322
10	189	0.000135	3.87	5.75	4	-42	54	5.9	-42.8	53.9	428	4	-44	54	248
9	145	0.00104	2.98	5.67	-56	-64	6	-55	-59.4	5.79	339	-56	-58	8	221
8	135	0.00171	2.77	6.28	10	-18	10	11.3	-17.5	8.47	322	8	-18	10	209
7	130	0.0022	2.66	4.74	-58	-32	14	-59.2	-40.7	13.9	281	-64	-40	20	200
6	113	0.00528	2.28	4.43	66	-34	24	62.6	-34.8	25.4	328	66	-34	24	207
5	109	0.00653	2.19	5.19	16	10	-12	17.2	11.6	-7.4	284	16	10	-12	196
4	104	0.00854	2.07	4.3	42	44	34	42.9	41.2	28.9	329	42	44	34	211
3	101	0.0101	2	4.75	-36	-10	0	-35.8	-9.53	-1.11	452	-40	-12	0	233
2	93	0.0157	1.81	5.43	-58	10	10	-55.5	6.98	12.2	554	-58	10	10	263
1	82	0.0293	1.53	4.29	48	52	12	47.4	51.6	7.58	337	46	54	10	256
