Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	988	1.21e-15	14.9	7.85	-34	-22	72	-36.6	-22.4	64.3	938	-36	-22	72	308
19	924	6.4e-15	14.2	7.11	44	-70	-2	36.4	-56.4	-17	439	34	-88	-10	236
18	698	3.19e-12	11.5	7.32	-52	-72	-2	-41.6	-78.2	-3.13	561	-52	-72	-2	244
17	401	5.96e-08	7.22	5.72	-26	-60	60	-26.2	-62	50.4	672	-26	-60	60	282
16	326	5.36e-07	6.27	6.21	0	-4	60	-0.75	-5.23	64.1	594	-2	-4	60	303
15	295	1.73e-06	5.76	7.91	-50	-44	4	-52	-44.9	8.43	459	-50	-44	4	228
14	226	2.72e-05	4.56	5.32	50	8	30	56.4	3.31	27.3	494	58	-4	30	263
13	207	6.12e-05	4.21	6.46	30	-52	50	30.8	-53.6	50.5	491	36	-60	62	238
12	204	6.97e-05	4.16	5.06	28	-76	48	32.8	-69.1	37	519	30	-76	48	250
11	203	7.28e-05	4.14	5.4	6	-18	26	4.34	-21.5	27	386	6	-18	26	233
10	201	7.95e-05	4.1	4.33	-4	12	36	0.034	12.3	38	360	2	14	40	234
9	156	0.000615	3.21	5.08	42	-86	4	37.2	-83.8	8.16	333	42	-84	6	202
8	135	0.00171	2.77	5.09	-8	-16	12	-12.5	-17.6	7.55	346	-6	-16	12	198
7	125	0.00283	2.55	4.41	24	-68	-16	27.6	-71.7	-15.3	513	26	-74	-14	271
6	116	0.00451	2.35	4.6	-56	-8	22	-56.4	-9.17	23.3	375	-58	-6	20	226
5	98	0.0119	1.93	5.38	-48	-2	4	-50	0.43	2.38	373	-50	0	4	259
4	97	0.0125	1.9	5.46	48	-54	10	47.6	-54.1	9.36	363	48	-54	12	224
3	92	0.0166	1.78	4.19	-20	4	6	-20	7.16	-0.0975	262	-18	0	-12	174
2	90	0.0185	1.73	4.82	20	-56	-48	17.5	-56.7	-49.8	261	18	-58	-52	187
1	82	0.0293	1.53	5.88	-54	-40	26	-54.4	-39.5	27	447	-56	-40	26	255
