Cluster Index	Z	x	y	z	
7	9.24	42	-80	-10
7	9.17	38	-86	16
7	8.94	32	-94	6
7	8.81	10	-88	-6
7	8.66	28	-90	8
7	7.76	48	-72	10
6	8.98	-28	-92	2
6	8.34	-26	-60	64
6	8.03	-32	-90	20
6	8.03	-58	-24	46
6	7.65	-42	-40	62
6	7.52	-38	-90	-4
5	7.88	2	-2	54
5	7.41	8	-12	58
5	7.13	-8	-4	46
5	6.69	-2	-6	52
5	6.24	-4	-4	60
5	5.47	-8	8	50
4	5.74	26	-6	50
3	5.75	6	-2	74
3	4.25	18	2	72
3	4.12	18	-2	68
2	5.19	-46	12	0
2	4.76	-42	2	6
2	3.6	-38	16	4
1	5.12	-64	-10	12
1	3.91	-64	-4	8
1	3.78	-58	-20	10
1	3.78	-50	-18	14
