Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
23	3953	8.82e-41	40.1	8.47	-38	-14	70	-40.7	-33	53.2	1.12e+03	-38	-14	70	295
22	3047	3.85e-34	33.4	10.7	36	-88	-2	36.3	-73.9	8.38	1.39e+03	38	-88	-2	296
21	2836	1.67e-32	31.8	11.3	-36	-86	-4	-35.5	-73.8	-7.61	1.01e+03	-40	-82	-16	310
20	2072	3.37e-26	25.5	8.07	56	-40	24	49.1	-41.1	41.8	895	52	-32	62	277
19	1290	7.35e-19	18.1	7.12	4	12	46	0.317	3.84	46.1	578	4	12	46	263
18	1208	5.16e-18	17.3	6.9	8	-14	8	23.8	-1.57	3.92	517	6	-16	10	225
17	687	4.38e-12	11.4	6.57	58	8	4	51	9.11	23.2	666	58	8	4	268
16	628	2.49e-11	10.6	7.43	30	-4	52	27.7	1.03	58.5	592	28	-4	52	285
15	556	2.23e-10	9.65	5.31	-20	-64	-32	-13.7	-72	-30	370	-18	-78	-18	197
14	460	4.86e-09	8.31	6.47	30	32	28	29.9	41.3	30	469	30	32	28	263
13	418	2e-08	7.7	5.46	0	-74	18	1.13	-73.2	12.3	532	-2	-72	14	308
12	400	5.96e-08	7.22	6.86	-8	-16	8	-11.2	-17.1	8.71	464	-8	-16	10	231
11	362	1.19e-07	6.92	6.48	-44	0	36	-52.2	1.94	34.6	404	-44	2	36	230
10	336	3.58e-07	6.45	5.75	-42	10	2	-42.2	4.41	4.44	450	-48	14	-8	227
9	308	1.01e-06	5.99	6.53	4	-30	28	1.55	-29.6	28.1	583	2	-30	28	297
8	262	6.26e-06	5.2	4.65	-26	-6	6	-25.4	-1.09	-0.0243	300	-24	-2	-10	188
7	230	2.3e-05	4.64	5.9	34	-46	-20	31.2	-45.9	-23.3	404	32	-46	-20	235
6	157	0.000587	3.23	6.4	-30	28	6	-29.5	27.3	4.24	406	-30	28	6	227
5	152	0.000745	3.13	5.62	16	-72	-20	15.6	-69	-16.6	295	18	-72	-20	198
4	149	0.000861	3.07	4.92	-32	38	40	-34.7	35.6	38.8	305	-32	38	42	206
3	118	0.00406	2.39	4.77	-6	-6	76	-13.6	-5.33	77.5	659	-10	-8	82	394
2	115	0.00475	2.32	4.25	14	-32	-42	19	-39.7	-46.9	244	14	-32	-42	194
1	102	0.00952	2.02	4.38	-10	-48	-38	-11	-45.4	-42.8	276	-8	-46	-38	210
