Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	2872	8.71e-33	32.1	8.16	38	-80	-20	38.2	-70.1	-12.9	667	38	-80	-20	243
18	2831	1.82e-32	31.7	8.51	-42	-80	4	-39.4	-72.5	-8.43	691	-42	-78	-18	239
17	1528	3.21e-21	20.5	6.36	-34	-62	54	-31.8	-55.2	51.7	519	-30	-64	60	232
16	977	1.61e-15	14.8	6.4	34	-46	42	32.2	-57.3	43.1	485	16	-72	58	214
15	710	2.26e-12	11.6	6.55	-36	-4	36	-45.1	-2.18	21.5	432	-36	-4	36	227
14	553	2.45e-10	9.61	5.68	36	-4	68	44.1	-0.57	43.9	583	36	-4	68	249
13	512	8.94e-10	9.05	5.85	12	4	48	3.65	7.94	45.7	374	10	6	48	229
12	489	1.88e-09	8.73	6.15	-30	-8	70	-30.4	-8.27	66.3	653	-32	-8	70	292
11	391	5.96e-08	7.22	5.85	-8	-16	10	-0.861	-18.9	8.92	407	-6	-16	10	210
10	388	5.96e-08	7.22	6.2	-56	-26	20	-56.5	-25.6	28.4	448	-54	-26	20	235
9	289	2.15e-06	5.67	5.24	18	-60	-46	17.7	-60.5	-47	281	12	-64	-46	182
8	189	0.000135	3.87	4.44	-28	56	-14	-28.2	58.1	-10.9	846	-34	58	-14	383
7	156	0.000615	3.21	4.22	-40	14	6	-35.1	18.7	7.95	254	-30	26	6	196
6	128	0.00243	2.61	4.54	-52	-52	36	-57	-48	35.6	226	-52	-44	30	181
5	119	0.00386	2.41	4.01	62	-40	24	61.2	-41.8	19.9	259	66	-42	20	178
4	93	0.0157	1.81	4.71	-8	-30	-26	-1.31	-27	-26.2	299	18	-26	-30	207
3	87	0.022	1.66	4.71	58	-22	32	58.6	-21.2	29.6	262	58	-22	32	206
2	87	0.022	1.66	4.78	16	4	76	19.6	3.94	72.6	529	16	4	76	287
1	80	0.0329	1.48	4.52	40	14	0	40.4	13.4	1.96	303	42	14	0	209
