Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	925	6.24e-15	14.2	5.95	-40	-26	68	-46.9	-25.9	59.4	1.1e+03	-30	-26	74	296
9	412	2.46e-08	7.61	6.03	-46	-74	-6	-43	-77.4	-6.14	571	-40	-74	-14	289
8	296	1.67e-06	5.78	5.91	40	-74	-4	45.4	-69.5	-1.89	468	32	-74	-14	254
7	246	1.19e-05	4.92	5.54	-30	-44	40	-35.2	-45	46.3	353	-30	-44	40	227
6	192	0.000118	3.93	5.71	38	-52	58	38.1	-49.5	55.6	332	44	-48	64	217
5	151	0.000782	3.11	5.01	-4	0	54	-1.89	-2.45	53.4	478	-4	-10	58	277
4	106	0.00767	2.12	6.01	-34	2	14	-37.8	1.51	12.6	471	-36	2	14	274
3	88	0.0208	1.68	5.74	-62	-20	26	-58.7	-21.3	24.9	412	-60	-22	24	254
2	83	0.0277	1.56	5.56	46	-48	-20	41	-48	-19.1	275	34	-48	-18	203
1	75	0.0442	1.35	4.53	42	-12	66	37.6	-4.24	63.8	487	42	-12	66	278
