Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
22	2359	1.2e-28	27.9	7.32	-36	-86	-8	-33.5	-79	-5.2	563	-24	-62	-18	256
21	2341	1.7e-28	27.8	7.88	42	-70	0	35	-76.6	-4.68	967	28	-94	-8	268
20	1342	2.18e-19	18.7	6.72	-28	-42	42	-41.7	-40.8	46.4	629	-32	-54	64	271
19	506	1.08e-09	8.96	5.3	8	24	32	0.639	18.9	41	555	2	34	34	277
18	449	7.01e-09	8.15	4.99	-40	14	0	-41.6	6.73	2.36	595	-46	8	-2	295
17	383	5.96e-08	7.22	5.15	50	-32	48	48.5	-31.3	47.5	756	30	-42	72	262
16	371	1.19e-07	6.92	6.11	18	-60	52	26.6	-56.4	53	594	18	-62	54	283
15	327	5.36e-07	6.27	6.84	-14	-68	44	-16.3	-68.8	42.8	1.2e+03	-14	-72	50	327
14	275	3.7e-06	5.43	5.54	36	20	6	39.3	16.2	2.4	452	36	22	6	266
13	238	1.65e-05	4.78	5.32	-8	-16	4	-9.62	-19.1	8.89	422	-6	-20	6	253
12	190	0.000129	3.89	5.24	46	2	30	51.3	5.03	33.9	536	58	14	36	292
11	173	0.000278	3.56	5.01	8	-22	6	10.7	-15.1	8.19	576	8	-18	10	283
10	166	0.000385	3.42	3.99	-2	-86	2	-3.28	-80.4	5.3	552	0	-80	6	350
9	162	0.000464	3.33	4.81	-52	4	44	-49	1.62	41.4	607	-52	6	44	268
8	150	0.00082	3.09	4.27	46	4	56	37	3.82	53.4	779	38	4	60	310
7	131	0.00209	2.68	4.74	28	-68	32	26.4	-69	37	310	28	-66	36	210
6	122	0.0033	2.48	4.49	58	-46	32	55.8	-45.4	31	388	48	-48	32	249
5	119	0.00386	2.41	4.22	58	-2	12	59.1	6.37	12	455	60	0	12	297
4	103	0.00902	2.04	4.27	-36	-20	68	-40.7	-18.8	64.9	517	-48	-16	58	359
3	98	0.0119	1.93	4.17	-50	-24	16	-52.6	-23.9	17.1	547	-60	-22	14	321
2	94	0.0148	1.83	4.25	-2	-30	26	0.771	-24.7	28.2	463	0	-24	30	323
1	85	0.0247	1.61	5.2	6	4	74	8.51	5.25	71.3	1.3e+03	6	2	74	478
