Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	1184	9.2e-18	17	6.2	38	-76	-16	35.1	-73.3	-13.6	638	40	-66	-18	272
9	1112	5.35e-17	16.3	6.23	-26	-86	-30	-38.9	-72.1	-17.1	881	-42	-58	-24	264
8	808	1.44e-13	12.8	6.83	-58	-26	50	-51.8	-32.7	49.2	652	-44	-48	62	265
7	647	1.41e-11	10.8	7.04	-58	6	14	-50.9	1.26	19.4	543	-58	6	14	243
6	223	3.09e-05	4.51	5.61	-4	-12	56	-0.471	-6.37	56.3	452	-2	-8	58	293
5	222	3.22e-05	4.49	5.71	-30	-54	50	-31.1	-54.8	49.5	381	-30	-56	52	247
4	196	9.89e-05	4	5.95	-32	-90	14	-31.9	-85.8	15.1	431	-32	-92	14	245
3	151	0.000782	3.11	4.86	30	-62	62	31.9	-57.2	59.2	445	32	-62	62	258
2	146	0.000995	3	5.65	-32	-8	68	-30.9	-7.19	67.1	513	-32	-8	68	271
1	128	0.00243	2.61	4.82	30	-68	26	27.2	-75.9	25.5	303	22	-84	28	225
