Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	10495	0	78.3	11.8	-30	-92	-6	-7.27	-71.1	19.8	921	-46	-84	2	225
18	496	1.5e-09	8.82	6.02	-20	8	2	-23.6	3.98	0.85	337	-20	8	2	190
17	370	1.19e-07	6.92	5.42	-30	28	2	-40.2	19.2	3.74	416	-48	18	-6	211
16	364	1.19e-07	6.92	6.11	-6	10	50	-3.32	9.29	47.3	397	-6	10	50	216
15	349	2.38e-07	6.62	5.92	20	6	-8	21.8	6.15	-0.185	311	20	6	-8	174
14	336	3.58e-07	6.45	5.14	46	10	36	43	10.3	30.3	331	46	10	36	202
13	245	1.24e-05	4.91	5.67	-32	-8	50	-31.7	-6.86	51.1	305	-32	-8	50	186
12	218	3.82e-05	4.42	6.16	-36	0	28	-46.4	3.59	24.4	409	-52	6	22	212
11	206	6.39e-05	4.19	5.33	-14	-18	2	-14	-20.4	3.61	221	-14	-20	8	166
10	206	6.39e-05	4.19	5.64	-60	-20	22	-57.7	-22.9	19.2	437	-52	-28	16	217
9	186	0.000154	3.81	5.58	38	18	4	36.7	22.9	2.06	316	38	18	4	188
8	147	0.000948	3.02	4.99	34	8	60	33.6	8.42	61.5	527	34	10	64	273
7	144	0.0011	2.96	5.3	-54	0	48	-51.6	-6.38	46.7	265	-54	0	48	176
6	136	0.00163	2.79	4.47	50	-38	26	51.7	-40.7	21.3	237	56	-32	38	169
5	128	0.00243	2.61	5.24	40	-40	42	39.4	-40.7	44.8	299	38	-42	42	194
4	100	0.0106	1.97	4.5	-30	54	22	-28.4	53.6	24.1	257	-26	56	26	185
3	98	0.0119	1.93	4.9	-56	-42	32	-57.7	-41.8	32.2	363	-58	-42	32	248
2	96	0.0132	1.88	4.23	2	-18	32	1.29	-20	33.1	359	2	-18	36	249
1	86	0.0233	1.63	6.82	-4	-2	78	-5.08	-1.9	76.4	787	-4	-2	78	333
