Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	1418	3.81e-20	19.4	6.58	-38	-86	-12	-30.8	-74.8	4.35	424	-38	-86	-12	231
16	968	2.03e-15	14.7	5.62	40	-86	-10	32.2	-68.1	-14.3	424	40	-78	-18	224
15	582	1e-10	10	6.28	6	6	52	0.72	8.52	45.1	749	0	2	54	265
14	565	1.69e-10	9.77	5.33	-44	-30	52	-41.7	-32.3	52.8	550	-48	-32	64	231
13	277	3.46e-06	5.46	4.47	44	-2	56	43.1	2.04	50.4	438	34	2	68	247
12	200	8.3e-05	4.08	5.95	-38	-4	52	-34.8	-4.18	53.1	418	-40	-2	60	245
11	188	0.000141	3.85	4.33	-12	10	-6	-20.4	5.12	-1.53	283	-12	10	-6	209
10	149	0.000861	3.07	5.55	14	-74	20	13.9	-70.1	17.1	452	12	-74	20	265
9	140	0.00133	2.87	4.74	32	-80	22	30	-85.1	19.3	344	32	-90	22	219
8	120	0.00366	2.44	4.81	28	-70	38	28.7	-69.5	39.1	318	30	-78	42	222
7	114	0.00501	2.3	4.7	30	-58	52	29.8	-59.2	53.5	304	32	-56	56	226
6	113	0.00528	2.28	4.65	-10	-16	2	-9.74	-15.9	5.24	272	-8	-18	8	205
5	98	0.0119	1.93	4.21	54	-22	56	52.1	-24.3	51.3	433	56	-20	56	232
4	89	0.0196	1.71	3.79	-18	-68	4	-14.1	-68.7	7.06	356	-12	-64	6	255
3	78	0.037	1.43	3.96	-40	-22	64	-36	-18.2	55.3	292	-34	-18	58	211
2	76	0.0417	1.38	4.14	-44	2	40	-49	3.69	37.9	361	-54	10	36	225
1	74	0.0469	1.33	4.01	-28	-2	70	-20.7	-2.58	65.5	395	-30	-2	70	216
