Cluster Index	Z	x	y	z	
22	7.32	-36	-86	-8
22	6.64	-18	-98	-4
22	6.62	-24	-88	12
22	6.6	-12	-102	-4
22	6.31	-44	-72	-6
22	6.28	-26	-94	-16
21	7.88	42	-70	0
21	7.5	28	-94	-4
21	7.1	36	-88	-10
21	7.09	14	-100	6
21	6.39	32	-82	12
21	6.32	46	-76	-12
20	6.72	-28	-42	42
20	6.38	-48	-34	44
20	5.82	-32	-50	44
20	5.46	-56	-36	54
20	5.31	-38	-36	40
20	4.9	-42	-30	34
19	5.3	8	24	32
19	4.98	-4	8	54
19	4.82	-4	0	56
19	4.73	-6	24	32
19	4.67	2	18	52
19	4.67	6	30	30
18	4.99	-40	14	0
18	4.97	-46	8	-2
18	4.69	-42	-10	6
18	4.39	-38	2	4
18	4.36	-40	10	6
18	4.19	-36	0	8
17	5.15	50	-32	48
17	4.85	56	-18	34
17	4.27	46	-38	52
17	4	34	-42	72
17	3.96	40	-42	48
17	3.7	44	-40	44
16	6.11	18	-60	52
16	5.86	34	-52	56
16	5.85	32	-52	52
16	4.45	30	-62	52
15	6.84	-14	-68	44
15	4.62	-24	-70	36
15	3.67	-8	-68	36
14	5.54	36	20	6
14	4.8	42	12	-2
14	4.08	40	8	4
14	4.02	40	10	8
14	3.42	38	30	-6
13	5.32	-8	-16	4
13	5.17	-12	-20	14
13	4.54	-12	-12	12
12	5.24	46	2	30
12	4.25	58	12	36
12	3.83	56	8	46
12	3.77	56	8	42
11	5.01	8	-22	6
11	5	8	-18	10
11	4.13	14	-16	14
11	3.93	14	-8	4
10	3.99	-2	-86	2
10	3.98	-6	-78	10
10	3.93	0	-84	6
9	4.81	-52	4	44
9	4.51	-48	-4	42
9	3.83	-42	2	36
9	3.79	-46	4	40
9	3.45	-58	6	34
8	4.27	46	4	56
8	4.14	38	4	56
8	3.96	36	4	60
8	3.84	34	4	48
8	3.72	32	-2	48
7	4.74	28	-68	32
7	4.7	24	-68	40
7	4.57	28	-66	36
7	3.53	16	-70	36
6	4.49	58	-46	32
6	4.32	48	-48	32
6	4.13	64	-46	22
6	3.74	54	-38	30
5	4.22	58	-2	12
5	4.12	60	10	14
5	3.51	66	4	12
5	3.49	50	10	14
5	3.44	56	6	6
5	3.15	58	12	4
4	4.27	-36	-20	68
4	4.07	-38	-20	64
4	3.89	-46	-14	58
3	4.17	-50	-24	16
3	4.14	-60	-22	18
3	3.46	-42	-30	16
2	4.25	-2	-30	26
1	5.2	6	4	74
1	3.72	14	10	68
1	3.61	12	8	64
1	3.28	6	0	66
