Cluster Index	Z	x	y	z	
21	6.42	54	-66	-6
21	6.42	34	-88	14
21	6.39	30	-44	-24
21	6.3	44	-70	4
21	6.24	48	-62	-12
21	5.92	38	-82	0
20	7.26	-40	-70	-8
20	6.5	-46	-64	-6
20	5.81	-30	-84	0
20	5.79	-40	-58	-8
20	5.72	-18	-92	-6
20	5.5	-48	-72	6
19	7.61	-2	0	60
19	5.32	-4	16	44
19	5.26	0	-4	66
19	5.14	-8	14	40
19	4.87	-2	6	48
19	4.76	-6	34	22
18	7.27	52	10	28
18	6.43	42	0	12
18	5.56	52	4	34
18	5.33	48	2	6
18	5.1	42	26	30
18	5.07	46	-2	32
17	5.85	34	-58	54
17	5.4	32	-58	40
17	4.85	30	-64	52
17	4.69	40	-40	46
17	4.64	36	-36	42
17	4.64	30	-66	46
16	5.7	-24	-50	50
16	5.55	-26	-56	58
16	5.55	-26	-56	54
16	5.42	-40	-44	54
16	5.13	-46	-38	56
16	5.1	-34	-48	54
15	6.42	-56	-24	36
15	5.8	-44	-28	42
15	4.69	-56	-32	48
15	4.61	-40	-22	64
15	4.34	-60	-24	26
15	4.18	-36	-28	46
14	5.77	-42	4	30
14	5.45	-42	38	16
14	5.24	-54	8	32
14	4.87	-56	4	38
14	4.43	-34	16	24
14	4.18	-38	28	20
13	5.33	-38	-2	52
13	4.9	-30	-2	46
13	4.77	-30	-8	68
13	3.87	-24	0	64
13	3.76	-30	0	60
13	3.72	-24	-2	60
12	4.71	30	48	26
12	4.7	34	52	30
12	4.58	30	44	24
12	4.37	40	48	26
12	4.02	30	44	36
12	4	34	44	32
11	5.09	-44	-50	12
11	4.34	-58	-54	10
11	4.28	-52	-68	16
11	3.82	-56	-56	0
10	5.53	26	0	50
10	3.36	22	12	60
9	4.68	-24	2	6
9	4.14	-24	-6	-10
9	3.76	-28	-4	4
9	3.61	-30	-6	0
9	3.34	-30	-12	2
9	3.15	-18	2	-8
8	4.5	0	-44	50
8	3.96	2	-56	50
8	3.83	-10	-50	50
8	3.34	4	-64	46
8	3.15	-6	-56	58
7	5.49	-50	-2	2
7	5.37	-50	-2	-2
7	4.49	-48	8	-6
7	3.95	-44	2	6
6	4.09	12	-12	10
6	3.51	6	-20	4
6	3.31	10	-26	6
5	5.69	62	-18	24
4	4.02	-18	-26	2
4	3.83	-10	-18	-4
4	3.58	-10	-12	2
4	3.55	-12	-26	8
3	4.03	-4	-16	42
3	3.95	-4	-18	34
3	3.58	0	-20	34
3	3.47	-8	-22	46
2	4.18	-36	-54	-30
2	3.92	-36	-52	-40
2	3.77	-32	-52	-44
2	3.5	-32	-48	-32
2	3.24	-42	-54	-30
1	4.62	-34	12	6
1	4.11	-30	20	4
1	3.24	-40	16	0
