Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	10917	0	80.4	11	-24	-58	60	-4.45	-39.7	46.4	1.37e+03	-36	-20	68	309
13	4567	5.61e-45	44.3	8.97	-32	-70	-6	-26.6	-68.3	-17.1	1.13e+03	-40	-52	-22	263
12	4546	7.01e-45	44.1	8.06	46	-66	-8	33.4	-65.3	-14.2	979	44	-76	-14	270
11	4331	2.13e-43	42.7	7.48	6	30	34	5.25	5.01	45.8	1.21e+03	12	20	68	340
10	2215	1.97e-27	26.7	6.47	-50	16	-2	-12.1	-0.118	7.11	771	-52	16	-2	235
9	593	7.15e-11	10.1	5.57	50	18	-2	38.3	18	-1.85	608	48	18	-6	261
8	531	4.89e-10	9.31	6.94	-56	6	26	-55.4	3.28	27.1	472	-54	8	26	237
7	466	3.99e-09	8.4	6.28	44	8	26	48.4	6.59	23.4	558	50	6	36	273
6	462	4.55e-09	8.34	6.8	-52	-44	26	-50.4	-46	13.3	447	-58	-44	20	255
5	256	7.93e-06	5.1	4.64	38	52	14	37.8	47.1	21.5	360	38	52	14	245
4	187	0.000148	3.83	5.59	-48	34	24	-46.8	32.1	26.5	348	-48	34	24	252
3	171	0.000305	3.52	4.89	-26	62	20	-25.6	58.9	17.7	328	-28	60	26	202
2	164	0.000422	3.37	5.92	-32	46	30	-31.4	45.1	29.6	377	-32	46	30	239
1	73	0.0498	1.3	4.99	-26	-64	-54	-26.1	-64.5	-52.8	231	-26	-66	-54	171
