Cluster Index	Z	x	y	z	
13	8.88	-38	-30	52
13	7.06	-28	-46	38
13	6.51	-44	-22	48
13	6.4	-34	-50	48
13	6.25	-58	-22	38
13	6.22	-46	-32	38
12	6.87	36	-70	18
12	6.63	42	-38	48
12	6.44	30	-62	30
12	6.43	34	-64	24
12	6.26	34	-52	52
12	6.15	42	-34	38
11	6.33	42	-60	-4
11	5.58	48	-64	-18
11	5.48	36	-48	-24
11	5.28	42	-60	-12
11	4.59	48	-46	-22
11	4.46	48	-72	0
10	7.49	-46	-64	-12
10	7.31	-38	-82	-2
10	6.95	-42	-74	-10
10	6.38	-44	-74	-14
10	5.26	-40	-72	0
10	5.13	-30	-46	-22
9	5.86	-6	-18	56
9	5.33	-4	-14	68
9	4.13	-2	-2	46
9	4.12	-6	6	50
9	4.11	-2	2	54
9	3.33	-6	-28	54
8	6.28	-62	0	38
8	6.16	-58	2	38
7	7.32	-30	-78	16
7	5.85	-26	-70	24
7	5.1	-24	-76	26
6	5.21	34	26	2
6	5.14	30	20	2
6	4.56	34	20	-6
5	4.48	-12	-70	46
5	4.46	-18	-66	48
5	3.36	-28	-64	54
4	5.17	58	10	40
4	3.57	56	28	26
4	3.32	56	18	28
3	4.26	-46	14	0
3	3.95	-34	22	10
3	3.61	-32	16	-2
3	3.53	-32	22	-2
2	4.95	20	-88	2
2	4.41	24	-90	-4
2	3.52	22	-94	8
1	4.19	6	30	34
1	3.44	4	20	30
