Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1831	4.69e-24	23.3	7.38	34	-82	24	24.9	-77.7	17.5	716	36	-44	40	258
15	765	4.75e-13	12.3	6.64	-28	-76	24	-29.7	-76.5	34.1	539	-28	-74	42	281
14	650	1.29e-11	10.9	5.96	2	10	52	-0.296	0.523	58.2	701	-10	-8	78	333
13	464	4.26e-09	8.37	6.35	-42	-34	38	-46.8	-34.9	41.5	490	-42	-36	40	264
12	401	5.96e-08	7.22	6.75	-44	-66	0	-43.8	-66.2	-4.22	441	-44	-64	2	239
11	394	5.96e-08	7.22	7.72	56	12	32	53.7	13.4	30.4	682	58	12	32	318
10	378	5.96e-08	7.22	5.93	34	24	6	42.1	21.7	4.5	535	36	28	4	285
9	321	6.56e-07	6.18	7.56	-22	-94	10	-30.1	-91.2	3.9	441	-22	-94	10	246
8	200	8.3e-05	4.08	7.92	-56	-2	40	-56.5	0.637	41.1	815	-60	2	42	345
7	155	0.000645	3.19	4.62	22	-48	-26	26.3	-45.7	-26.6	244	38	-42	-30	185
6	139	0.0014	2.85	5.45	-42	-26	68	-40.3	-25.3	65.9	704	-42	-28	70	316
5	137	0.00155	2.81	5.2	-30	-10	60	-28.4	-8.66	55.2	403	-30	-10	60	244
4	126	0.00269	2.57	4.54	-16	-16	14	-13.2	-18.7	10.3	261	-16	-16	14	213
3	100	0.0106	1.97	4.43	-32	30	2	-33.8	25.3	-1.58	299	-32	30	2	232
2	87	0.022	1.66	4.99	-36	16	10	-37.2	17.1	8.23	378	-36	18	8	238
1	84	0.0261	1.58	4.54	42	-70	-14	41.5	-66.3	-15	290	40	-68	-18	207
