Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	3400	8.49e-37	36.1	7.24	46	-60	-4	39.5	-66.9	9.08	485	62	-42	10	221
20	1530	3.07e-21	20.5	6.18	-48	-70	0	-38.6	-70.8	-4.9	414	-48	-70	0	213
19	1241	2.34e-18	17.6	6.08	-24	-68	26	-29.2	-54.9	43.1	363	-14	-76	48	215
18	1188	8.35e-18	17.1	6.94	-26	-8	48	-31.8	-16.9	58.5	516	-30	-14	72	227
17	972	1.83e-15	14.7	6.35	2	18	60	0.688	16.1	49.5	393	-4	14	52	225
16	759	5.62e-13	12.3	6.54	32	20	-6	37.7	18.3	-0.409	513	50	16	-4	245
15	698	3.19e-12	11.5	6.79	46	8	34	44.2	7.42	29.8	445	50	16	40	247
14	505	1.12e-09	8.95	5.56	-8	-16	8	-9.73	-11.2	3.12	362	-8	-16	8	197
13	467	3.86e-09	8.41	5.94	10	-16	10	9.27	-10.3	6.23	450	2	-12	12	217
12	395	5.96e-08	7.22	6.09	-48	4	36	-48.4	4.54	34.2	421	-46	4	36	205
11	340	2.98e-07	6.53	6.21	30	-4	54	28.1	-0.362	52.5	306	30	-4	52	187
10	258	7.33e-06	5.13	5.89	48	-34	52	47.4	-35	49.9	393	48	-32	60	207
9	222	3.22e-05	4.49	4.45	6	-76	-22	0.236	-73.6	-23.3	209	0	-78	-18	150
8	193	0.000113	3.95	4.44	26	66	-4	18.6	68.6	2.06	722	26	68	0	442
7	184	0.000169	3.77	4.54	-4	-30	24	1.82	-32.9	24.4	357	0	-32	24	244
6	152	0.000745	3.13	4.44	-58	-30	48	-58.1	-24.6	41.3	279	-52	-30	56	194
5	150	0.00082	3.09	5.18	-28	14	12	-30.3	16.3	10.1	299	-28	20	12	197
4	142	0.00121	2.92	4.57	32	50	22	28.2	46.2	20.7	297	32	50	22	192
3	84	0.0261	1.58	3.99	24	-58	-52	26.3	-61.2	-50.3	170	24	-58	-52	138
2	81	0.0311	1.51	4.07	-4	-20	56	-5.42	-20.1	58.3	227	-4	-20	56	183
1	76	0.0417	1.38	4.15	16	16	-8	14.6	14.9	-5.97	227	6	16	0	177
