Cluster Index	Z	x	y	z	
22	9.26	-42	-82	4
22	8.98	-42	-76	0
22	7.68	-44	-64	-10
22	7.6	-44	-86	0
22	6.19	-52	-56	12
22	5.86	-38	-62	-4
21	7.54	-40	-42	50
21	7.05	-46	-26	40
21	6.39	-36	-32	36
21	5.78	-54	-22	48
21	5.16	-42	-22	68
21	5.01	-58	-24	12
20	8.81	36	-84	8
20	7.56	44	-58	-12
20	7.28	36	-90	12
20	7.19	42	-90	0
20	7.06	32	-94	8
20	6.75	46	-78	4
19	6.57	-10	-18	8
19	5.49	6	-18	8
19	3.33	18	-14	18
19	3.29	14	-12	18
18	6.08	36	-60	26
18	6.01	14	-70	50
18	5.04	22	-64	44
18	4.66	28	-60	36
17	5.79	64	-28	16
17	5.21	60	-38	26
17	4.9	66	-22	20
17	4.63	64	-42	18
17	3.67	66	-38	30
16	5.06	6	12	40
16	4.46	-2	-10	50
16	4.43	-2	-6	50
16	4.41	0	0	50
16	4.27	6	8	50
16	3.95	-2	6	40
15	4.69	34	-62	-16
15	4.58	20	-58	-8
15	4.38	18	-52	-22
15	4.18	30	-74	-16
15	3.88	24	-48	-22
15	3.64	10	-56	-8
14	5.44	52	-20	34
14	4.74	60	-24	48
14	4.31	60	-8	38
14	4	64	-18	30
14	3.98	62	-22	40
14	3.86	66	-18	34
13	6.29	14	-62	-50
13	6.03	18	-62	-46
13	4.61	16	-70	-44
13	3.69	26	-52	-50
13	3.66	28	-48	-50
13	3.34	32	-42	-50
12	7.34	-56	4	38
12	5.14	-52	10	32
12	4.79	-42	-2	30
12	3.73	-42	-6	38
11	5.95	-58	10	14
11	5.61	-52	4	6
10	4.85	54	8	0
10	4.5	42	4	32
10	4.18	50	8	28
10	3.86	58	2	10
10	3.79	60	8	18
10	3.63	54	14	28
9	4.66	-20	-64	10
9	4.05	-18	-50	0
9	4.03	-14	-54	0
8	4.92	26	-48	2
8	4.43	30	-54	6
8	3.34	22	-68	12
7	4.95	-22	-10	50
7	4.9	-26	-6	58
6	5.14	-34	16	10
6	4.89	-34	12	6
6	4.12	-42	16	6
5	4.85	26	60	24
5	4.42	34	58	26
4	3.97	-6	-74	-46
4	3.96	-20	-70	-50
4	3.81	-12	-72	-46
4	3.61	-10	-74	-50
3	4.88	40	-38	48
3	3.74	34	-50	54
3	3.47	32	-44	48
2	4.23	-40	60	12
2	4.15	-36	62	12
2	4.15	-36	66	4
1	4.85	28	-2	52
