Cluster Index	Z	x	y	z	
21	7.24	46	-60	-4
21	6.55	44	-80	-2
21	6.53	36	-88	4
21	6.49	38	-80	0
21	6.43	30	-74	32
21	5.95	60	-42	10
20	6.18	-48	-70	0
20	6.18	-44	-64	-2
20	5.55	-44	-60	-20
20	5.42	-32	-70	-18
20	5.41	-38	-54	-8
20	5.26	-56	-68	16
19	6.08	-24	-68	26
19	6.04	-32	-56	50
19	5.61	-44	-34	38
19	5.23	-20	-66	42
19	5.04	-26	-50	38
19	4.92	-28	-64	58
18	6.94	-26	-8	48
18	5.81	-28	-4	56
18	5.11	-32	-14	66
18	5.01	-32	-16	70
18	4.87	-32	-24	58
18	4.8	-22	-26	76
17	6.35	2	18	60
17	5.86	8	30	32
17	5.64	-6	14	52
17	5.34	6	18	48
17	4.63	-8	24	32
17	4.62	-2	8	62
16	6.54	32	20	-6
16	6.01	36	18	4
16	5.47	48	16	-4
16	5.45	42	20	-2
16	5.33	48	10	-2
16	4.19	54	10	8
15	6.79	46	8	34
15	5.84	48	2	20
15	5.72	48	16	38
15	5.7	42	2	22
15	4.98	34	8	32
15	4.86	40	14	34
14	5.56	-8	-16	8
14	4.91	-6	-18	0
14	4.62	-10	6	10
14	4.22	-8	-6	2
14	4.08	-12	-24	8
14	3.58	-10	-32	-4
13	5.94	10	-16	10
13	4.45	6	4	10
13	4.1	8	2	0
13	3.87	6	-24	-10
13	3.82	8	-12	-2
13	3.81	6	-26	-20
12	6.09	-48	4	36
12	4.65	-54	8	36
12	4.6	-54	6	24
12	4.11	-54	6	48
12	3.82	-48	2	18
12	3.61	-42	2	48
11	6.21	30	-4	54
11	4.53	20	8	46
11	4.48	20	8	50
11	3.35	20	-2	48
11	3.21	44	-2	54
10	5.89	48	-34	52
10	4.22	44	-38	42
10	3.43	60	-38	46
10	3.32	52	-38	42
9	4.45	6	-76	-22
9	4.43	-4	-78	-30
9	4.4	6	-72	-22
9	4.05	0	-70	-20
9	3.3	16	-64	-26
8	4.44	26	66	-4
8	4.33	14	72	6
7	4.54	-4	-30	24
7	4.5	6	-38	22
7	4.01	8	-30	28
6	4.44	-58	-30	48
6	3.75	-56	-22	34
6	3.66	-58	-18	40
6	3.61	-62	-22	34
6	3.59	-62	-22	38
6	3.5	-62	-24	44
5	5.18	-28	14	12
5	5.13	-28	18	12
5	3.6	-36	12	6
5	3.29	-28	26	6
4	4.57	32	50	22
4	4.19	28	44	26
4	4.09	26	44	20
3	3.99	24	-58	-52
3	3.55	34	-58	-52
3	3.48	24	-72	-48
2	4.07	-4	-20	56
2	3.86	-10	-26	50
2	3.67	-2	-10	68
1	4.15	16	16	-8
1	3.6	6	16	0
