Cluster Index	Z	x	y	z	
18	7.89	50	-68	0
18	6.54	44	-62	-2
18	6.24	44	-82	-16
18	5.6	44	-48	-22
18	5.58	42	-76	-20
18	5.42	36	-88	-4
17	5.75	-32	-52	42
17	5.56	-26	-52	46
17	5.49	-46	-36	50
17	5.48	-50	-38	52
17	5.46	-20	-68	58
17	5.46	-30	-62	56
16	7.27	-48	-74	-10
16	7.23	-34	-94	2
16	6.85	-30	-90	0
16	6.67	-54	-72	-10
16	6.39	-48	-70	8
16	6.3	-42	-72	-12
15	6.92	30	-56	68
15	6.27	36	-54	62
15	5.69	30	-48	44
15	5.38	52	-42	28
15	5.16	46	-38	40
15	5.13	58	-54	18
14	5.25	26	-66	52
14	5.25	22	-62	42
14	4.56	10	-76	46
14	4.5	28	-70	26
14	4.44	18	-66	34
14	4.37	22	-82	32
13	6.69	48	14	32
13	5.23	44	8	26
13	5.18	38	10	26
13	4.9	48	14	42
13	4.41	52	14	46
13	4.2	62	16	16
12	4.89	6	4	58
12	4.72	0	-2	52
12	4.72	2	8	48
12	4.72	2	16	44
12	4.7	0	-8	54
12	4.7	8	-8	64
11	6.49	-20	-64	32
11	5.45	-36	-82	16
11	4.42	-26	-84	12
11	4.39	-24	-68	24
11	4.24	-26	-72	30
11	4.13	-22	-76	28
10	4.21	28	-10	54
10	4.05	38	-4	54
10	4.02	34	-12	72
10	3.96	40	-6	66
10	3.95	32	-6	50
10	3.78	36	-12	68
9	4.13	56	12	4
9	3.96	56	8	6
9	3.95	46	16	8
9	3.83	42	20	-2
9	3.82	32	20	2
9	3.78	36	18	2
8	5.55	-60	-20	30
8	4	-52	-22	26
7	5.18	4	-36	28
7	4.35	-4	-36	28
6	5.03	-50	10	40
6	4.88	-50	6	42
6	3.73	-46	0	34
6	3.45	-44	0	30
6	3.26	-44	6	38
5	4.39	38	-80	20
5	3.72	40	-76	28
5	3.53	36	-80	12
5	3.16	42	-76	8
4	4.22	2	-36	80
4	3.85	4	-22	84
4	3.79	2	-20	80
4	3.66	2	-12	80
4	3.6	8	-12	84
3	5.03	-18	6	26
3	4.02	-26	16	22
2	4.22	26	56	-8
2	4.15	24	58	-4
2	4.03	22	60	-8
1	5.25	48	-24	-4
