Cluster Index	Z	x	y	z	
17	6.58	-38	-86	-12
17	5.5	-28	-84	20
17	5.29	-26	-94	-8
17	5.18	-22	-84	-24
17	5.15	-36	-60	-10
17	5.03	-22	-96	0
16	5.62	40	-86	-10
16	5.6	28	-90	-4
16	5.3	20	-48	-20
16	5.01	38	-58	-16
16	4.89	38	-92	-2
16	4.67	26	-48	-26
15	6.28	6	6	52
15	5.5	-6	10	50
15	5.4	0	2	54
15	4.79	6	22	28
15	4.54	-8	8	36
15	4.54	8	8	36
14	5.33	-44	-30	52
14	4.59	-34	-30	48
14	4.57	-40	-30	58
14	4.42	-42	-36	52
14	4.32	-50	-22	58
14	4.22	-46	-30	62
13	4.47	44	-2	56
13	4.42	38	-2	48
13	4.3	54	6	50
13	4.25	34	0	44
13	4.19	38	-2	56
13	4.19	52	14	38
12	5.95	-38	-4	52
12	4.22	-26	-8	48
11	4.33	-12	10	-6
11	4.28	-22	6	6
11	3.74	-24	4	0
11	3.73	-26	0	-4
11	3.53	-10	8	-14
11	3.39	-10	14	-12
10	5.55	14	-74	20
10	4.08	20	-68	12
10	4.02	14	-60	14
9	4.74	32	-80	22
9	4.63	30	-90	22
9	4.04	26	-94	12
9	3.92	24	-90	12
8	4.81	28	-70	38
8	4.62	30	-74	40
8	4.58	26	-62	40
7	4.7	30	-58	52
7	4.08	28	-66	56
7	3.61	26	-50	54
6	4.65	-10	-16	2
6	4.2	-8	-18	8
6	3.82	-12	-10	10
6	3.43	-16	-12	14
6	3.14	-6	-22	-6
5	4.21	54	-22	56
5	3.85	48	-28	50
5	3.63	44	-32	48
5	3.45	54	-22	48
5	3.32	48	-22	38
4	3.79	-18	-68	4
4	3.68	-8	-78	12
4	3.63	-12	-66	8
4	3.56	-8	-64	6
4	3.32	-14	-72	10
4	3.31	-2	-72	10
3	3.96	-40	-22	64
3	3.88	-34	-18	56
3	3.69	-34	-18	48
2	4.14	-44	2	40
2	3.97	-54	2	44
2	3.89	-50	8	36
2	3.41	-44	4	32
2	3.32	-44	0	34
1	4.01	-28	-2	70
1	3.91	-18	-2	62
1	3.69	-18	-2	70
1	3.15	-26	-2	76
