Cluster Index	Z	x	y	z	
16	10.7	42	-56	-8
16	10.6	44	-56	-4
16	8.1	28	-56	32
16	7.87	32	-66	50
16	7.82	28	-54	50
16	7.5	28	-48	42
15	7.11	12	-14	8
15	6.89	34	10	64
15	6.5	50	14	-6
15	6.34	44	24	-6
15	6.24	48	4	28
15	6.23	56	12	-4
14	7.39	-34	8	52
14	7.27	-38	-2	18
14	7.16	-42	-2	14
14	6.76	-34	4	40
14	6.66	-54	10	28
14	6.58	-54	6	20
13	9.17	-48	-70	-4
13	9.11	-44	-68	-6
13	9.09	-44	-72	2
13	8.88	-44	-60	-8
13	8.63	-54	-60	10
13	8.5	-36	-88	12
12	7	-30	-56	62
12	6.76	-38	-36	48
12	6.65	-44	-40	50
12	6.26	-58	-20	46
12	6.22	-24	-60	34
12	6.09	-24	-58	42
11	7.48	8	20	40
11	5.68	-4	16	48
11	5.46	2	18	52
11	4.92	-2	10	36
11	4.75	-6	0	50
11	4.74	-4	6	48
10	7.19	-50	-20	12
10	6.36	-56	-16	10
10	4.57	-60	-16	20
10	3.59	-54	-10	8
9	5.03	-18	-64	2
9	4.82	-18	-60	0
9	4.27	-26	-64	-8
9	4.18	-18	-60	-10
9	3.83	-16	-66	12
8	4.91	34	56	10
8	4.66	38	48	18
7	4.81	-42	38	16
7	4.61	-40	38	24
7	4.54	-38	36	20
6	4.1	-32	56	20
6	3.81	-32	66	12
6	3.75	-24	56	8
5	4.5	34	46	28
5	3.89	50	34	24
4	4.17	-2	-72	4
4	3.81	0	-76	-2
4	3.67	-2	-66	2
4	3.56	2	-64	6
3	4.88	50	-36	-2
2	4.99	4	-10	36
1	5.3	-16	-40	-48
1	4.33	-22	-34	-40
1	3.35	-28	-42	-46
