Cluster Index	Z	x	y	z	
10	6.2	38	-76	-16
10	6.05	44	-74	-12
10	5.98	32	-56	-18
10	5.87	36	-90	-4
10	5.67	32	-92	-16
10	5.61	38	-86	-16
9	6.23	-26	-86	-30
9	6.2	-50	-76	-16
9	6.17	-44	-68	-20
9	6.01	-34	-88	-18
9	5.98	-46	-80	-14
9	5.8	-42	-58	-24
8	6.83	-58	-26	50
8	6.45	-46	-44	60
8	6.29	-58	-22	38
8	6.04	-52	-36	56
8	6.03	-58	-26	36
8	5.32	-46	-32	44
7	7.04	-58	6	14
7	5.79	-48	0	8
7	5.31	-52	2	22
7	5.31	-56	6	30
7	5.18	-52	2	32
7	5.12	-36	-10	18
6	5.61	-4	-12	56
6	4.67	-2	2	54
6	4.31	8	-6	58
6	3.42	2	-6	48
5	5.71	-30	-54	50
5	4.19	-30	-50	38
5	4.01	-34	-62	58
4	5.95	-32	-90	14
4	4.87	-32	-82	14
4	4.72	-28	-78	22
4	3.22	-42	-78	16
3	4.86	30	-62	62
3	4.4	36	-54	62
3	3.53	30	-50	50
2	5.65	-32	-8	68
2	4.82	-28	-8	74
2	4.35	-28	-6	62
2	4.08	-26	-2	64
1	4.82	30	-68	26
1	4.61	22	-84	28
1	4.49	28	-78	20
