Cluster Index	Z	x	y	z	
20	7.85	-34	-22	72
20	7.67	-28	-20	76
20	7.27	-46	-32	66
20	7.1	-40	-30	70
20	7.06	-34	-10	68
20	6.64	-24	-12	78
19	7.11	44	-70	-2
19	6.6	48	-74	-6
19	5.8	24	-38	-22
19	5.12	36	-86	-10
19	5.07	24	-34	-26
19	4.84	48	-56	-16
18	7.32	-52	-72	-2
18	6.44	-40	-82	0
18	6.31	-34	-90	4
18	6.14	-46	-72	-12
18	5.56	-40	-78	-10
18	4.92	-36	-66	-10
17	5.72	-26	-60	60
17	5.03	-30	-68	24
17	4.8	-22	-60	50
17	4.7	-22	-68	42
17	4.49	-42	-54	58
17	4.47	-20	-62	70
16	6.21	0	-4	60
16	5.68	0	-8	66
16	4.71	-4	-10	76
16	4.44	6	0	64
15	7.91	-50	-44	4
15	5.23	-62	-42	8
15	4.55	-40	-52	20
15	3.85	-50	-52	12
14	5.32	50	8	30
14	5.22	64	10	24
14	4.77	58	-4	28
14	4.08	50	10	22
14	3.4	58	6	30
13	6.46	30	-52	50
13	4.15	36	-58	56
13	3.81	36	-62	62
13	3.79	22	-48	44
12	5.06	28	-76	48
12	4.99	36	-66	26
12	4.75	30	-68	46
12	4.35	40	-74	28
12	4.34	40	-78	30
12	4.17	30	-64	38
11	5.4	6	-18	26
11	4.95	0	-32	26
11	4.48	10	-30	26
10	4.33	-4	12	36
10	4.21	2	16	40
10	4.1	-10	6	34
10	4.04	-4	14	40
10	3.96	-2	0	40
10	3.8	-4	8	42
9	5.08	42	-86	4
9	4.74	40	-82	6
9	4.2	26	-80	16
9	3.99	24	-80	20
9	3.65	36	-84	16
8	5.09	-8	-16	12
8	4.62	-10	-18	8
8	4.41	-16	-16	12
8	4.26	-14	-16	2
8	4.04	-16	-22	14
7	4.41	24	-68	-16
7	3.91	36	-74	-14
7	3.83	26	-74	-14
7	3.69	18	-74	-14
6	4.6	-56	-8	22
6	3.76	-50	-16	28
6	3.65	-60	0	28
5	5.38	-48	-2	4
5	3.53	-58	6	-2
4	5.46	48	-54	10
3	4.19	-20	4	6
3	3.76	-20	12	-2
3	3.49	-24	10	-10
3	3.38	-18	0	-2
3	3.28	-18	2	-12
2	4.82	20	-56	-48
2	3.79	12	-56	-48
1	5.88	-54	-40	26
