Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	3603	2.78e-38	37.6	8	-32	-12	70	-35.5	-29.5	55.6	1.08e+03	-32	-12	70	275
11	1966	2.88e-25	24.5	8.14	-18	-80	-12	-39	-75.1	-4.58	667	-18	-80	-12	257
10	1608	5.5e-22	21.3	7.75	44	-76	-18	39.6	-72.7	-10.1	725	44	-78	-18	239
9	1453	1.72e-20	19.8	8.07	22	-70	60	28	-56.8	50.2	839	22	-70	60	277
8	404	5.96e-08	7.22	5.52	34	-6	68	31.9	-3.86	61	581	32	-6	68	260
7	328	4.77e-07	6.32	4.79	-8	-6	54	-1.85	2.96	52.9	432	-6	-6	54	242
6	284	2.62e-06	5.58	5.8	46	12	28	44	6.75	31.3	388	50	10	42	241
5	109	0.00653	2.19	5.24	-32	22	8	-32.6	19.8	10.5	318	-32	22	8	210
4	92	0.0166	1.78	6.21	-54	6	22	-52.3	6.42	24	370	-52	6	22	239
3	89	0.0196	1.71	4.44	-42	-2	12	-43	1.04	8.49	342	-50	10	-2	204
2	79	0.0349	1.46	4.48	-38	2	40	-37.9	4.61	36.1	347	-34	4	34	246
1	77	0.0393	1.41	4.6	-54	-54	8	-54.8	-51.5	9.17	277	-54	-54	8	203
