Cluster Index	Z	x	y	z	
19	8.16	38	-80	-20
19	8.01	46	-64	-12
19	7.54	44	-78	-2
19	6.71	56	-66	-8
19	6.69	28	-64	-18
19	6.52	38	-88	-20
18	8.51	-42	-80	4
18	7.6	-42	-78	-18
18	7.31	-48	-80	-4
18	6.77	-52	-58	-8
18	6.68	-52	-76	-10
18	6.39	-58	-66	-6
17	6.36	-34	-62	54
17	6.13	-30	-56	46
17	6.03	-30	-44	40
17	5.98	-28	-66	60
17	5.91	-26	-70	52
17	5.45	-46	-42	48
16	6.4	34	-46	42
16	5.9	28	-56	38
16	5.73	28	-58	42
16	5.43	38	-70	44
16	5.31	34	-56	48
16	5.31	28	-68	30
15	6.55	-36	-4	36
15	6.2	-50	-6	8
15	5.74	-52	0	22
15	5.22	-36	2	28
15	5.16	-42	-4	28
15	4.56	-28	-10	4
14	5.68	36	-4	68
14	5.64	56	-4	40
14	5.46	42	-2	62
14	5.3	46	4	28
14	4.92	52	0	44
14	4.86	46	-4	58
13	5.85	12	4	48
13	4.93	2	6	46
13	4.59	-2	2	56
13	4.57	-10	10	36
13	4.41	2	-4	62
13	3.97	4	26	34
12	6.15	-30	-8	70
12	5.75	-36	-8	66
12	5.11	-20	-4	76
12	4.78	-46	-16	66
12	4.32	-12	0	80
12	4.18	-30	-8	54
11	5.85	-8	-16	10
11	4.78	10	-16	10
11	4.68	-10	-22	10
11	4.29	16	-12	0
11	3.24	-6	-24	-2
10	6.2	-56	-26	20
10	5.57	-56	-30	38
10	5.51	-60	-20	24
10	4.44	-60	-30	46
10	4.1	-60	-32	52
9	5.24	18	-60	-46
9	4.29	26	-44	-52
9	4.18	4	-76	-40
9	4.11	28	-50	-48
9	4.02	10	-72	-44
9	3.91	6	-68	-42
8	4.44	-28	56	-14
8	4.34	-22	58	-10
8	4.29	-28	60	-6
8	3.73	-38	56	-14
8	3.67	-34	60	-14
8	3.25	-38	60	-8
7	4.22	-40	14	6
7	4.18	-30	16	8
7	4	-36	26	10
7	3.66	-30	26	6
7	3.66	-30	22	8
6	4.54	-52	-52	36
6	4.28	-52	-44	30
6	4.25	-62	-48	34
5	4.01	62	-40	24
5	3.88	66	-42	20
5	3.82	64	-48	14
5	3.57	56	-46	20
5	3.47	60	-34	20
5	3.23	54	-42	24
4	4.71	-8	-30	-26
4	3.78	6	-26	-26
4	3.53	4	-22	-28
4	3.42	10	-32	-26
4	3.37	-6	-18	-28
4	3.24	18	-26	-30
3	4.71	58	-22	32
3	4.41	60	-20	26
2	4.78	16	4	76
2	4.76	22	4	72
1	4.52	40	14	0
1	3.44	38	6	0
