Cluster Index	Z	x	y	z	
19	11.8	-30	-92	-6
19	11.5	-46	-82	2
19	10.4	-40	-88	4
19	8.13	22	-96	4
19	7.99	-40	-84	-8
19	7.91	-40	-80	-4
18	6.02	-20	8	2
18	5.57	-28	-4	4
18	4.39	-26	0	-6
18	4.2	-18	0	-10
17	5.42	-30	28	2
17	5.34	-40	18	4
17	5.1	-36	16	10
17	4.89	-48	18	-4
17	4.06	-36	26	22
17	3.83	-40	24	-6
16	6.11	-6	10	50
16	3.92	10	8	36
16	3.87	8	20	44
16	3.8	-2	12	40
16	3.74	10	14	48
16	3.66	4	10	42
15	5.92	20	6	-8
15	4.9	26	6	0
15	3.81	16	4	16
15	3.52	22	4	12
15	3.35	14	-2	14
15	3.19	24	-4	14
14	5.14	46	10	36
14	5.01	40	16	24
14	4.99	42	6	26
14	4.81	50	14	38
14	3.35	36	22	22
13	5.67	-32	-8	50
13	5.05	-28	0	52
13	3.71	-32	4	42
13	3.32	-44	-10	60
12	6.16	-36	0	28
12	4.7	-52	6	22
12	4.62	-56	8	22
12	3.49	-44	0	24
11	5.33	-14	-18	2
11	4.94	-16	-20	8
11	4.05	-20	-34	6
10	5.64	-60	-20	22
10	5.17	-56	-22	14
10	4.18	-52	-28	16
10	4.17	-54	-28	20
10	3.59	-48	-20	18
9	5.58	38	18	4
9	3.92	46	22	8
8	4.99	34	8	60
8	3.45	28	14	70
7	5.3	-54	0	48
7	4.11	-48	-16	46
7	4.05	-48	-16	42
7	3.91	-50	-10	56
7	3.64	-54	-6	50
6	4.47	50	-38	26
6	4.07	54	-44	18
6	3.95	46	-46	12
6	3.56	50	-34	32
6	3.35	54	-32	38
5	5.24	40	-40	42
4	4.5	-30	54	22
4	3.88	-26	48	28
4	3.55	-26	58	30
3	4.9	-56	-42	32
3	4.84	-62	-40	32
2	4.23	2	-18	32
2	4.02	-2	-26	34
2	3.64	2	-8	34
1	6.82	-4	-2	78
1	3.58	-8	-2	68
