Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	2593	1.44e-30	29.8	8.88	-38	-30	52	-40.9	-30.8	47.1	681	-48	-42	56	279
12	1678	1.21e-22	21.9	6.87	36	-70	18	37.3	-49.9	38.7	528	32	-52	52	252
11	905	1.06e-14	14	6.33	42	-60	-4	43.1	-58.4	-13.9	455	40	-46	-28	234
10	899	1.24e-14	13.9	7.49	-46	-64	-12	-41.1	-68.7	-8.25	512	-40	-82	-2	251
9	398	5.96e-08	7.22	5.86	-6	-18	56	-4	-9.65	56.9	375	-2	-16	70	245
8	290	2.09e-06	5.68	6.28	-62	0	38	-55.4	1.89	35.2	561	-62	-2	38	305
7	271	4.35e-06	5.36	7.32	-30	-78	16	-28.1	-75.8	20.7	566	-30	-78	18	260
6	209	5.61e-05	4.25	5.21	34	26	2	33.1	22	1.42	381	34	26	2	220
5	161	0.000486	3.31	4.48	-12	-70	46	-16.8	-68.1	47.5	447	-12	-74	48	263
4	121	0.00348	2.46	5.17	58	10	40	56.1	12.8	36.1	417	58	10	40	270
3	111	0.00587	2.23	4.26	-46	14	0	-36.9	18.5	2.33	354	-46	16	-2	243
2	90	0.0185	1.73	4.95	20	-88	2	22.1	-89.3	0.304	274	24	-90	-6	181
1	85	0.0247	1.61	4.19	6	30	34	5.53	25.9	33.4	325	6	30	34	239
