Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	8061	0	65.4	10.7	42	-56	-8	39.7	-56.1	17.2	844	54	-66	-8	261
15	3770	1.75e-39	38.8	7.11	12	-14	8	33.3	7.9	20	1.05e+03	30	12	64	265
14	3500	1.56e-37	36.8	7.39	-34	8	52	-29.8	2.03	17	556	2	-24	-2	226
13	3475	2.38e-37	36.6	9.17	-48	-70	-4	-42.2	-69.5	5.64	931	-50	-70	-4	300
12	3270	7.87e-36	35.1	7	-30	-56	62	-39.8	-39.9	47.6	757	-46	-46	62	265
11	1367	1.22e-19	18.9	7.48	8	20	40	0.9	12.4	41.4	816	6	20	42	259
10	279	3.16e-06	5.5	7.19	-50	-20	12	-53.5	-19.1	12.9	530	-50	-20	12	274
9	225	2.84e-05	4.55	5.03	-18	-64	2	-19.5	-62.3	-1.44	489	-16	-56	-2	258
8	137	0.00155	2.81	4.91	34	56	10	35.3	54.1	10.9	428	40	56	6	256
7	127	0.00256	2.59	4.81	-42	38	16	-40.5	37.1	19.7	367	-44	38	24	226
6	92	0.0166	1.78	4.1	-32	56	20	-29	57.3	14.1	263	-34	64	12	189
5	90	0.0185	1.73	4.5	34	46	28	38.6	42.2	27.7	414	44	40	26	242
4	88	0.0208	1.68	4.17	-2	-72	4	-0.352	-71.2	2.39	549	2	-68	4	365
3	85	0.0247	1.61	4.88	50	-36	-2	49.1	-35.1	-0.378	437	48	-36	2	255
2	75	0.0442	1.35	4.99	4	-10	36	4.58	-11.4	34.8	335	2	-12	36	222
1	75	0.0442	1.35	5.3	-16	-40	-48	-19	-39.3	-45.8	341	-22	-34	-42	214
